2014 SVI Minority Status Encoding,2015 SVI Minority Status Encoding,2016 SVI Minority Status Encoding,2017 SVI Minority Status Encoding,2018 SVI Minority Status Encoding,2019 SVI Minority Status Encoding,2020 SVI Minority Status Encoding
18.615677,18.175266,17.735107,17.397923,17.061874,16.997498,16.93251
-57.064613,-57.399136,-57.73252,-57.384396,-57.036587,-57.107136,-57.179615
11.019498,11.04165,11.064528,11.289052,11.5141115,11.555236,11.594811
-29.827793,-29.90884,-29.988214,-29.889805,-29.7914,-29.651308,-29.510918
9.604249,9.16642,8.727466,8.701921,8.677466,8.854933,9.032194
-62.9302,-63.04492,-63.159737,-62.85083,-62.542,-62.958805,-63.375427
20.801222,20.642962,20.484737,20.641586,20.799488,20.400286,19.999422
81.803955,81.937614,82.07195,81.878395,81.683304,81.511795,81.34073
-28.02562,-28.027992,-28.029974,-27.956518,-27.884184,-27.856161,-27.82776
-5.5180726,-5.8255963,-6.13339,-6.2895904,-6.445762,-6.4995255,-6.5533547
47.23007,47.281208,47.333378,47.23359,47.133987,47.254276,47.374634
59.86136,59.870255,59.88199,59.40771,58.93224,58.94253,58.953495
0.80511504,0.6925128,0.5800448,0.68209296,0.78397185,0.62722665,0.4711936
-95.35538,-95.402725,-95.44881,-95.73205,-96.01628,-95.69175,-95.36848
11.68722,12.009778,12.3326435,12.257033,12.181421,12.218502,12.254883
49.798904,49.8788,49.95869,49.949665,49.942295,50.153294,50.364853
0.443619,0.28156495,0.118601084,-0.39479804,-0.90834975,-0.88898253,-0.8695867
21.652155,21.727861,21.80315,22.035606,22.268248,21.850248,21.431744
-26.190792,-26.319948,-26.447948,-26.068157,-25.687382,-25.558123,-25.430433
15.416475,15.513144,15.609911,15.57612,15.542839,15.481873,15.421143
-52.770382,-52.913086,-53.056835,-53.05037,-53.044758,-53.169933,-53.293842
52.45907,52.73436,53.01122,52.77852,52.545773,52.4603,52.375317
-62.37623,-62.326633,-62.276253,-62.095062,-61.912624,-61.957306,-62.000755
-50.682323,-50.54867,-50.41357,-50.38483,-50.356106,-50.440296,-50.52402
-75.870255,-76.27401,-76.67662,-76.60484,-76.533554,-76.272964,-76.0116
-93.40539,-93.43032,-93.453835,-93.37966,-93.306465,-93.26789,-93.230064
-76.83739,-76.61162,-76.385925,-76.03931,-75.69211,-75.23929,-74.786476
6.271682,6.1515265,6.03065,5.8582106,5.6876154,5.525653,5.364522
-18.010351,-17.866045,-17.721462,-17.87263,-18.023287,-18.040056,-18.057716
10.881444,11.16506,11.449052,11.28207,11.114631,11.050518,10.985472
-35.402092,-35.42379,-35.446686,-35.412495,-35.378647,-35.409115,-35.439453
-22.380974,-22.243746,-22.107649,-22.349466,-22.589996,-22.719313,-22.848347
-19.11183,-19.29707,-19.482914,-19.469677,-19.455479,-19.661282,-19.866783
38.46956,38.38778,38.304775,38.437454,38.570915,38.57866,38.586575
30.956463,30.87979,30.801659,30.856382,30.91018,30.874363,30.838493
-28.691765,-28.3684,-28.04596,-28.213108,-28.379005,-28.362228,-28.346508
14.006648,13.811373,13.615902,13.691576,13.768545,13.299318,12.828569
-13.660737,-13.571377,-13.48324,-13.418165,-13.353364,-13.273525,-13.193609
36.667217,36.721043,36.77502,36.537533,36.30001,36.387627,36.474167
-18.969374,-18.996418,-19.024023,-18.82152,-18.618315,-19.10185,-19.58466
68.45527,68.590034,68.723755,68.602104,68.48138,68.57376,68.666374
63.690247,63.92518,64.16166,64.77083,65.38144,65.369064,65.35773
-20.445787,-20.498215,-20.550741,-20.868149,-21.185665,-21.244183,-21.301643
-3.001177,-3.125994,-3.2518733,-3.3787997,-3.50548,-3.7382243,-3.970669
46.10932,46.13218,46.155563,46.18683,46.21985,46.32403,46.429108
31.407068,31.592566,31.778442,31.538088,31.29907,30.66748,30.035322
8.116845,8.130708,8.143206,8.223182,8.302721,8.143983,7.985048
52.091297,51.90579,51.71902,51.5464,51.37267,51.39773,51.42429
-3.1183755,-3.1288488,-3.1384003,-2.9413078,-2.7449863,-2.768121,-2.791721
-1.0822116,-0.9635344,-0.8445421,-0.86581,-0.88679415,-1.1810328,-1.4758588
-54.181408,-54.1401,-54.10031,-53.974236,-53.84843,-54.032875,-54.215294
22.925098,22.772549,22.619093,22.940268,23.264015,22.737186,22.210083
-53.499554,-53.530643,-53.559673,-53.53343,-53.506523,-53.8154,-54.122208
-25.430231,-25.58759,-25.744793,-25.964462,-26.184185,-26.272184,-26.360794
-14.6282215,-14.586252,-14.543681,-14.070652,-13.597651,-13.676226,-13.756241
-10.398001,-10.514881,-10.631872,-10.703657,-10.775507,-10.695293,-10.613596
58.571033,58.811695,59.05224,59.04024,59.028137,58.633312,58.238632
18.49938,19.045275,19.59013,19.380953,19.172012,19.267208,19.36344
16.04089,15.777077,15.5136,15.330503,15.146875,15.043553,14.940704
-8.852804,-9.069443,-9.286131,-9.17911,-9.072376,-8.749769,-8.426596
-37.931713,-38.287624,-38.642963,-38.641903,-38.639812,-38.63132,-38.621624
-40.466854,-40.503212,-40.53957,-40.17411,-39.80855,-39.682972,-39.558067
2.7860122,3.256185,3.7264438,3.4543605,3.1819873,3.365995,3.5506492
-90.12539,-90.149574,-90.17266,-90.06639,-89.961296,-89.57668,-89.19309
35.95883,35.93099,35.90416,35.73967,35.57531,35.36406,35.153633
77.98939,77.98456,77.98311,77.803795,77.62494,77.59439,77.562454
