2014 SVI Aged 17 or Younger Encoding,2015 SVI Aged 17 or Younger Encoding,2016 SVI Aged 17 or Younger Encoding,2017 SVI Aged 17 or Younger Encoding,2018 SVI Aged 17 or Younger Encoding,2019 SVI Aged 17 or Younger Encoding,2020 SVI Aged 17 or Younger Encoding
-0.26982307,-0.7734418,-1.27717,-0.43976307,0.39699268,1.4811139,2.5642724
-27.1597,-27.886951,-28.61564,-28.253923,-27.894064,-26.90597,-25.917833
25.864408,26.90779,27.95088,27.641518,27.330856,27.404245,27.476559
92.83006,92.88786,92.94777,91.78172,90.6176,89.53189,88.44772
8.043235,8.107575,8.171507,8.332551,8.494001,9.25217,10.010584
24.112955,24.227905,24.34409,24.70028,25.055954,25.377153,25.699076
-53.12761,-52.94975,-52.77179,-52.589355,-52.40706,-51.399296,-50.392025
-75.28059,-75.06062,-74.84146,-74.03193,-73.22192,-73.98029,-74.73935
8.692403,8.204327,7.7165504,7.292787,6.8686833,6.252791,5.6373744
79.11003,79.148544,79.18596,78.53791,77.8893,77.3201,76.75059
61.86202,61.620403,61.379353,60.751392,60.124172,60.906403,61.68919
15.846866,15.85696,15.866381,16.050856,16.234312,16.174076,16.11255
-53.319225,-54.04857,-54.77659,-54.666252,-54.557022,-53.502655,-52.44763
-39.586357,-39.656223,-39.72504,-39.42483,-39.12392,-38.40012,-37.6767
4.55118,4.9502344,5.349736,5.531747,5.713668,6.532813,7.351429
0.62998295,0.61771965,0.60576344,0.09325122,-0.41894722,0.42490578,1.2701416
-22.534254,-22.178547,-21.822033,-21.133816,-20.444141,-20.72223,-21.000584
-40.827282,-40.55222,-40.277504,-39.988342,-39.699543,-39.05765,-38.416668
-29.75549,-29.39844,-29.042591,-29.531483,-30.021824,-30.38363,-30.74681
8.928672,8.559737,8.191248,7.6456637,7.100208,6.960548,6.820518
6.054865,6.154212,6.2540703,6.6682673,7.0818014,7.039694,6.997814
34.00083,34.146988,34.293827,33.5865,32.87868,32.332203,31.786978
-5.9916086,-6.225052,-6.458172,-5.6620727,-4.863139,-4.185418,-3.5068898
-73.75221,-73.92237,-74.09343,-74.048225,-74.00144,-74.59919,-75.19769
-17.109924,-16.55646,-16.001286,-15.648949,-15.2973385,-14.351322,-13.40555
-52.755592,-53.068985,-53.38375,-53.392357,-53.401516,-53.0177,-52.6331
-58.756104,-59.256027,-59.754803,-58.931686,-58.107677,-56.74034,-55.373547
-2.1858976,-1.8740405,-1.5638865,-1.937065,-2.3112972,-3.0683105,-3.825795
-50.2381,-49.537598,-48.836853,-48.363102,-47.88995,-47.360435,-46.832466
6.331821,7.189833,8.047243,8.167499,8.287469,9.11942,9.94981
-83.96021,-84.16535,-84.37077,-83.87016,-83.37114,-82.900955,-82.43244
-35.244495,-34.980824,-34.716995,-34.570282,-34.42393,-33.766582,-33.109478
-28.325357,-28.708529,-29.091915,-28.2973,-27.50464,-27.282354,-27.059145
-2.9858937,-3.6028428,-4.2185283,-4.143007,-4.06591,-5.2329307,-6.3995175
10.114319,9.962825,9.810285,10.837713,11.866565,12.177609,12.4884615
0.20427941,0.74560404,1.2854676,0.9221091,0.5589824,-0.23948719,-1.0359521
31.723839,31.892685,32.061325,32.751945,33.44412,33.80837,34.17378
-13.987079,-13.792718,-13.598241,-12.261536,-10.923399,-11.930115,-12.936352
4.7513947,5.535931,6.3218203,5.961527,5.602116,4.8158693,4.0300636
63.16305,63.22597,63.28925,61.935993,60.58266,60.181576,59.780636
-4.8357472,-5.165175,-5.495724,-5.8069634,-6.1196494,-6.177028,-6.234246
23.314848,23.468664,23.622139,23.580431,23.53848,23.45504,23.37243
28.1588,28.783382,29.409609,30.217997,31.027952,31.064888,31.102259
-59.895817,-59.945564,-59.996197,-59.156002,-58.31667,-58.82565,-59.33558
-64.28715,-64.91278,-65.54111,-65.47605,-65.41001,-65.72383,-66.03719
30.208538,30.019035,29.829678,29.366852,28.902298,29.729319,30.5559
-3.0459034,-3.3519843,-3.658717,-3.5554364,-3.451029,-3.8354647,-4.2203135
-46.68288,-47.60641,-48.529804,-48.90636,-49.28352,-48.66934,-48.05673
4.629733,4.432466,4.235492,4.394532,4.5526137,4.572271,4.5933194
56.833107,56.417927,56.003166,55.495743,54.98849,53.706245,52.42424
43.179714,43.52374,43.86687,44.64646,45.426353,45.108814,44.789974
-2.6091173,-2.717264,-2.8251054,-2.9300764,-3.0331552,-2.8787248,-2.724776
55.181023,55.66194,56.143375,56.294415,56.44516,56.314457,56.18374
44.209118,44.409073,44.608658,43.756645,42.904243,43.15127,43.400406
-1.0806351,-1.1898443,-1.2969763,-1.1453931,-0.99263275,-0.14889124,0.69585973
-1.7570493,-1.4937894,-1.2307622,-1.4424226,-1.65501,-1.4743764,-1.2923944
-96.77763,-96.54169,-96.306435,-95.57132,-94.83654,-93.76493,-92.69462
-23.433159,-24.044731,-24.65713,-24.849155,-25.042301,-24.510212,-23.97916
61.913383,61.923172,61.93388,61.87601,61.81993,61.379173,60.940495
-24.64738,-24.881887,-25.115341,-25.102787,-25.089369,-25.707546,-26.327396
14.145383,14.127191,14.10938,14.283708,14.458147,14.380578,14.303993
12.41861,12.359261,12.301232,12.120817,11.94083,12.442805,12.946606
-46.806408,-47.088722,-47.370987,-47.18347,-46.997734,-47.146782,-47.29663
-10.204819,-10.261732,-10.319103,-9.349494,-8.380662,-8.863023,-9.346061
10.306628,10.691262,11.076643,11.698931,12.321096,12.324936,12.329401
-10.208433,-10.95045,-11.691522,-11.768512,-11.846917,-11.196605,-10.546417
