2014 SVI Below Poverty Encoding,2015 SVI Below Poverty Encoding,2016 SVI Below Poverty Encoding,2017 SVI Below Poverty Encoding,2018 SVI Below Poverty Encoding,2019 SVI Below Poverty Encoding,2020 SVI Below Poverty Encoding
-33.702686,-33.35978,-33.01678,-33.374405,-33.730602,-33.84955,-33.968124
4.8457584,4.1102467,3.3752346,2.91148,2.4475365,1.9891721,1.5312978
14.328557,15.540902,16.753365,16.639133,16.523247,14.614188,12.706933
-38.6889,-38.58273,-38.477444,-39.525208,-40.573757,-41.522144,-42.470676
-89.19937,-89.65919,-90.1203,-87.685074,-85.25011,-82.50753,-79.765854
-18.768002,-19.530375,-20.294012,-21.41992,-22.547081,-22.03661,-21.526072
43.26913,42.62292,41.9771,40.515415,39.054775,40.21233,41.369972
24.392117,24.705946,25.01945,23.841837,22.662624,21.689236,20.716465
-69.70789,-69.81709,-69.927216,-69.11884,-68.31247,-67.6064,-66.90019
10.252968,10.020525,9.789253,9.736805,9.683086,9.154516,8.625505
11.789482,11.283273,10.776912,10.383915,9.989987,9.408351,8.8271265
26.912071,26.330654,25.749792,25.506907,25.265387,27.90048,30.536749
-53.24582,-53.836124,-54.42698,-54.451538,-54.47657,-53.99407,-53.51215
-8.225479,-8.294671,-8.364041,-8.49355,-8.622048,-7.35162,-6.080517
-38.767014,-37.824276,-36.880585,-36.15275,-35.42607,-33.657333,-31.88945
-6.954269,-7.0573106,-7.161348,-6.7228065,-6.2847104,-7.1393538,-7.99225
-12.351456,-13.445981,-14.538839,-14.442509,-14.344752,-13.362719,-12.381624
26.664179,26.747532,26.831644,26.089716,25.34797,25.915947,26.4844
-39.352005,-38.340656,-37.32925,-37.447937,-37.56658,-36.971333,-36.375324
45.39258,44.575207,43.75784,42.717926,41.67878,41.26367,40.849705
-16.094107,-16.962292,-17.830524,-16.673704,-15.518149,-16.013948,-16.509863
-40.158623,-40.211357,-40.26326,-39.445667,-38.629578,-39.301178,-39.973877
-25.892607,-25.477846,-25.063911,-25.630636,-26.197939,-28.283915,-30.369253
-23.410078,-24.035036,-24.659712,-24.758913,-24.858328,-24.202208,-23.54526
74.48247,75.04631,75.60991,74.048965,72.48708,72.43872,72.39084
-29.394573,-30.333155,-31.272575,-31.662817,-32.053852,-30.743956,-29.432472
29.884485,30.528324,31.171528,31.713581,32.255726,32.925995,33.59639
6.4970956,6.652661,6.8069453,6.7059493,6.6050963,6.322366,6.0382667
-3.7413735,-4.22337,-4.7054377,-5.1281266,-5.549064,-4.7502685,-3.9512281
-5.0816383,-5.8805637,-6.680704,-5.739805,-4.79776,-3.6916504,-2.584669
-1.5208335,-0.8209071,-0.122527614,0.042620167,0.20738648,-1.237432,-2.6820474
-32.447247,-31.419716,-30.393553,-30.774366,-31.154934,-30.260054,-29.363667
-5.7375784,-5.986594,-6.2352457,-5.8817797,-5.529105,-4.003358,-2.4765003
71.10295,71.43869,71.7758,70.97423,70.17195,67.858696,65.54451
13.224021,12.852551,12.482184,12.2821865,12.08146,12.435333,12.788166
17.795094,17.207815,16.62037,16.106094,15.592431,14.796793,14.002732
86.34444,85.88099,85.41742,84.65029,83.885345,84.72645,85.5672
52.660625,53.513298,54.364136,54.556534,54.749756,54.764954,54.778522
-14.3953495,-15.489115,-16.582891,-16.334938,-16.086721,-17.2203,-18.35517
-54.6674,-54.31904,-53.970947,-52.36735,-50.764507,-50.700245,-50.636425
-41.142754,-40.614887,-40.088787,-40.02283,-39.9563,-41.25905,-42.56124
-59.78693,-60.105522,-60.424175,-60.88495,-61.344906,-61.26598,-61.18528
56.671017,56.87696,57.08385,56.919163,56.754456,56.563957,56.372086
-4.134632,-4.123024,-4.1114044,-4.0121174,-3.9138193,-4.6466656,-5.380292
75.41036,76.61365,77.81612,76.30496,74.79495,74.030045,73.26508
29.67496,29.936338,30.19741,30.832603,31.467634,31.183346,30.897589
29.511158,30.006702,30.503378,30.546076,30.588974,28.985067,27.380854
41.966118,41.708897,41.453053,41.65684,41.860546,41.664974,41.46674
-61.978638,-61.809258,-61.640434,-61.716797,-61.793106,-61.089104,-60.386745
-16.878078,-18.30268,-19.726788,-19.076138,-18.426996,-17.444328,-16.46182
2.364822,2.528878,2.6930044,3.365041,4.0367775,3.801121,3.5642333
10.079599,10.203057,10.325691,9.898896,9.473258,8.40268,7.332375
10.295372,9.001432,7.707589,5.969002,4.231853,3.7794287,3.3278224
-60.018726,-59.644432,-59.270172,-60.194256,-61.11853,-62.51406,-63.90824
-30.983568,-31.506346,-32.03002,-32.53697,-33.043785,-31.672056,-30.300035
45.234837,45.013496,44.791927,45.259342,45.72665,43.723087,41.720016
36.90866,35.870983,34.832794,35.51313,36.19458,36.747066,37.29856
-16.00889,-15.078357,-14.147208,-12.837636,-11.527694,-12.372218,-13.214316
-28.354317,-29.352697,-30.349976,-30.44341,-30.536367,-29.973211,-29.409113
6.5065265,5.789642,5.0742984,4.625421,4.1763244,4.0446677,3.9108253
44.680965,44.908554,45.135548,44.847034,44.55794,43.7904,43.021698
-44.136597,-44.30341,-44.470825,-45.182972,-45.894817,-47.219612,-48.544342
77.58149,79.64005,81.698746,81.725945,81.75289,81.88025,82.00822
-41.872902,-42.92612,-43.98009,-43.96624,-43.952744,-44.65822,-45.364204
