2014 SVI No High School Diploma Encoding,2015 SVI No High School Diploma Encoding,2016 SVI No High School Diploma Encoding,2017 SVI No High School Diploma Encoding,2018 SVI No High School Diploma Encoding,2019 SVI No High School Diploma Encoding,2020 SVI No High School Diploma Encoding
-5.7989993,-5.0830836,-4.365805,-4.958859,-5.550881,-5.4711423,-5.3915696
104.28329,104.34643,104.4101,103.57468,102.73752,101.78203,100.826614
-48.780396,-48.83605,-48.890076,-49.00621,-49.121864,-48.4388,-47.755096
-74.48458,-74.19511,-73.905075,-74.04202,-74.179306,-74.50916,-74.83944
-17.587317,-17.477615,-17.367697,-17.070759,-16.77296,-16.670238,-16.566149
55.91237,56.414944,56.916744,56.67972,56.44084,55.49238,54.543114
3.1692305,3.2315378,3.2933955,3.5358825,3.7773108,2.701345,1.6241288
1.1759388,0.89953923,0.6228707,1.175235,1.7270482,2.3587558,2.9909265
-32.61841,-33.39036,-34.161026,-34.39645,-34.63107,-34.406315,-34.183155
40.096893,39.94876,39.80149,39.48243,39.162247,39.42726,39.693317
105.25581,105.331116,105.40485,105.03673,104.669876,104.0897,103.510025
-7.220522,-6.6643176,-6.1078486,-5.7095757,-5.310157,-4.854186,-4.398636
-15.335947,-15.276036,-15.216437,-15.503229,-15.7903385,-15.746485,-15.701746
-20.354681,-19.580677,-18.807518,-17.89102,-16.974659,-17.028673,-17.081264
2.857084,2.244686,1.6341377,1.1513745,0.66857827,1.5915371,2.5163848
1.7100711,1.4603543,1.209352,0.6669831,0.12357284,-0.30162764,-0.72865534
-6.815813,-6.911829,-7.006921,-6.3381195,-5.671092,-6.1638966,-6.6569767
-20.177137,-20.363638,-20.5493,-21.000154,-21.450417,-21.576326,-21.703676
-80.02881,-80.34786,-80.66667,-80.396065,-80.126,-79.45523,-78.78565
65.165825,65.84744,66.52913,66.47203,66.4156,66.468864,66.52241
37.89637,39.09794,40.298164,40.78992,41.28218,41.86776,42.45321
-29.194069,-29.677736,-30.163015,-31.589643,-33.01648,-32.780373,-32.543983
58.68651,58.224495,57.763157,58.146667,58.530674,58.913994,59.29812
57.90156,57.39777,56.89385,56.312004,55.730026,55.50275,55.275684
-4.638011,-5.4315233,-6.22301,-6.8629904,-7.501979,-7.9600954,-8.418746
1.5446358,1.4144258,1.2860031,1.1603279,1.0342836,0.64524126,0.25557756
-20.804804,-21.212328,-21.620407,-21.00995,-20.401052,-19.139793,-17.8785
-23.685514,-23.526464,-23.367474,-23.052628,-22.737612,-22.413742,-22.091549
-41.542076,-41.702595,-41.864395,-41.200687,-40.53753,-39.336693,-38.13645
15.240987,15.518699,15.797608,15.279395,14.760534,14.217313,13.67385
11.920189,12.016428,12.113089,12.297041,12.480035,12.348347,12.215817
38.224655,37.90593,37.58747,37.34868,37.10984,38.02825,38.945694
-2.4331193,-1.8407893,-1.2488837,-1.1225557,-0.9963279,-1.5273948,-2.0595903
20.553143,21.182297,21.810274,21.349174,20.88893,20.703829,20.517836
-49.16559,-49.32028,-49.474266,-49.252632,-49.030792,-48.951252,-48.874317
-60.290928,-61.072285,-61.85419,-60.866528,-59.87975,-59.581974,-59.284332
6.351479,6.625409,6.898986,7.2239847,7.550378,6.8571873,6.16437
-8.200299,-9.201087,-10.202882,-10.259394,-10.315398,-9.189594,-8.063918
-32.78907,-32.91114,-33.034126,-32.87448,-32.715755,-33.521507,-34.327316
7.753184,7.329633,6.907108,6.4391103,5.969716,4.992125,4.015245
39.409492,39.18474,38.959866,38.811554,38.66542,39.591324,40.51821
60.6342,60.691807,60.74923,60.135643,59.520153,59.5812,59.64434
18.32188,18.60167,18.881058,18.53295,18.183767,18.218042,18.249945
22.71905,21.583786,20.447851,20.947588,21.445662,21.55707,21.668411
-19.967777,-19.340734,-18.714226,-18.576756,-18.440418,-18.272104,-18.102917
29.140015,28.887001,28.633686,28.637817,28.641914,28.170074,27.697823
-17.583776,-17.805416,-18.02697,-17.829006,-17.62898,-16.870312,-16.112156
-86.92609,-87.88566,-88.844925,-88.64597,-88.44818,-87.87103,-87.29461
43.490402,42.991627,42.492023,42.00655,41.51956,41.16194,40.80126
-1.2331576,-0.959476,-0.6854758,-0.09394029,0.49701545,0.42490432,0.3526635
12.943043,12.094004,11.245219,11.346815,11.448662,11.714781,11.9807
13.989603,13.47955,12.970074,12.4901285,12.011924,12.435855,12.8587
-21.943798,-22.035053,-22.12701,-22.344845,-22.562838,-23.013203,-23.463648
-35.117172,-34.91106,-34.706043,-34.844982,-34.98366,-34.913677,-34.84551
-47.875732,-48.43373,-48.9918,-48.492416,-47.993484,-47.481365,-46.97059
-66.81039,-67.17619,-67.542694,-66.633835,-65.72612,-65.430336,-65.13507
-21.803518,-22.20191,-22.600624,-22.502012,-22.403238,-22.041655,-21.680845
-21.018742,-20.473675,-19.928093,-20.623446,-21.316706,-21.193409,-21.07082
3.3420718,3.3162205,3.2897742,3.5186732,3.7484887,3.6127322,3.4765933
-11.027242,-10.959607,-10.892652,-10.630069,-10.368641,-11.578704,-12.78978
7.504763,7.617352,7.730153,7.657917,7.5861387,7.124345,6.6633234
11.778541,12.122404,12.465921,12.003186,11.539765,11.655449,11.770995
67.001816,67.30115,67.60014,67.736374,67.87312,67.6016,67.33052
-0.26428944,-0.23251015,-0.20144802,-0.32046658,-0.4399286,0.26495403,0.9704537
16.2181,15.888938,15.561919,14.936666,14.310609,13.886043,13.462283
3.8154986,3.5975497,3.3809893,3.7762797,4.171868,3.9625475,3.7548373
-27.240175,-27.73601,-28.230888,-28.88016,-29.529295,-29.33224,-29.135515
-31.171074,-30.601477,-30.034052,-29.322979,-28.611372,-27.500399,-26.38974
-5.358869,-5.010101,-4.6615252,-3.5505936,-2.4388783,-2.4681103,-2.498151
-23.358027,-23.757507,-24.156807,-24.00576,-23.854254,-23.225199,-22.596085
-4.240638,-4.202051,-4.1622057,-4.8456373,-5.5278873,-6.114874,-6.7013187
-24.945246,-25.529491,-26.113071,-24.87064,-23.62902,-24.144566,-24.66124
8.961547,8.88876,8.814263,8.847294,8.878109,9.608292,10.338431
47.599155,47.45078,47.303257,46.839695,46.375046,46.069057,45.763626
-14.287811,-14.657337,-15.027642,-15.207037,-15.385557,-15.426562,-15.466729
14.505392,14.69607,14.885672,15.398337,15.909869,15.903773,15.896273
-12.610324,-12.098564,-11.586511,-11.950487,-12.314001,-11.979774,-11.645793
3.902555,3.3113132,2.7195375,2.1046443,1.4902021,1.928969,2.3677216
