2014 SVI Disability Encoding,2015 SVI Disability Encoding,2016 SVI Disability Encoding,2017 SVI Disability Encoding,2018 SVI Disability Encoding,2019 SVI Disability Encoding,2020 SVI Disability Encoding
72.35679,72.582794,72.70614,72.832375,72.95969,72.94925,72.93809
1.7316952,1.3491764,0.91996956,1.1632938,1.4062595,1.2820911,1.1563854
55.03505,54.748516,54.35337,54.004707,53.65567,52.997864,52.33922
-12.285072,-13.658192,-15.114802,-16.450878,-17.786882,-18.020454,-18.251648
-42.81222,-44.96702,-47.018295,-46.94391,-46.86802,-46.536293,-46.20363
-5.050488,-4.493533,-3.9778285,-4.2435718,-4.5109067,-4.2521834,-3.9953218
36.786896,36.774437,36.778347,36.127365,35.476776,34.798862,34.118484
32.703865,33.42073,34.28359,34.5228,34.761868,35.03007,35.299507
-7.2616944,-9.362215,-11.5868025,-12.556312,-13.526928,-13.914935,-14.304736
-3.6814327,-3.0894518,-2.6302047,-1.5395103,-0.44822925,-0.43618053,-0.4236073
42.399387,42.80137,43.085094,41.84869,40.6136,39.62631,38.638924
-46.663754,-47.53064,-48.355526,-46.758507,-45.162987,-43.636696,-42.111958
8.807876,9.315379,9.865437,9.932163,9.997964,10.469747,10.942308
-72.612755,-72.96657,-73.37905,-74.34059,-75.30408,-75.429565,-75.556305
-11.619656,-12.009264,-12.492166,-13.780775,-15.068377,-15.277948,-15.4867115
60.771885,60.638657,60.661922,60.87437,61.08691,60.534153,59.98017
9.861288,9.243693,8.539235,9.497761,10.456797,11.528906,12.599951
24.604279,25.186878,25.850668,26.697533,27.542734,28.560083,29.578138
-25.399023,-25.823189,-26.29842,-26.223965,-26.149525,-25.158714,-24.170189
-14.8258095,-15.384008,-15.883377,-15.578422,-15.273074,-15.539059,-15.803555
66.675514,66.22676,65.90954,66.285515,66.66083,66.23529,65.81172
48.90655,49.920322,50.779778,50.581764,50.383007,48.428955,46.47544
-2.880221,-2.3051648,-1.5992093,-2.2037396,-2.8070416,-3.6613593,-4.514807
-38.949997,-38.314728,-37.5575,-36.6873,-35.815826,-35.71031,-35.607536
48.25396,48.98832,49.66833,50.912453,52.1563,51.596523,51.0379
30.108135,30.633108,31.150356,31.654575,32.16136,31.380037,30.597809
3.2741673,3.828956,4.4413466,4.7883515,5.135385,4.171099,3.2061398
-8.527559,-7.861399,-7.2501416,-7.510243,-7.7700524,-8.844406,-9.917971
-29.351885,-27.953234,-26.421722,-25.395056,-24.368343,-24.074669,-23.780697
-17.382475,-17.94272,-18.495787,-19.439499,-20.384136,-20.784859,-21.18507
13.841039,14.805537,15.869039,15.25533,14.641209,14.585469,14.529794
16.764637,16.261309,15.810943,16.934137,18.057272,18.379675,18.702444
-17.008644,-17.063684,-17.120728,-16.871569,-16.620275,-17.318567,-18.016018
31.838797,31.818132,31.754293,32.02227,32.292274,31.891184,31.489344
-25.744299,-26.689314,-27.563063,-28.331522,-29.098886,-29.492914,-29.888151
37.362553,37.089268,36.873096,36.21607,35.560024,34.63509,33.710884
-44.76514,-44.749405,-44.805683,-44.089466,-43.37237,-41.57016,-39.771008
3.8948164,2.6710038,1.5441842,0.6545744,-0.23512745,0.5590148,1.3541002
-50.50799,-51.0818,-51.601532,-53.850483,-56.100277,-56.52363,-56.945835
-14.5954,-14.692769,-14.658504,-13.983743,-13.309359,-12.230733,-11.15365
22.90932,23.038343,23.302689,22.749462,22.194078,21.908665,21.622955
-13.233121,-13.67112,-14.077954,-15.689541,-17.300219,-18.655655,-20.01219
-3.3085122,-3.2956777,-3.4364057,-3.1155915,-2.793631,-1.9586092,-1.1250731
-20.32665,-19.411568,-18.53515,-19.407969,-20.281168,-21.174868,-22.069693
32.219505,32.144505,32.16693,31.250742,30.334272,30.911034,31.487005
82.112526,81.88686,81.52657,81.743256,81.960464,83.407875,84.85668
-1.933,-2.4186091,-2.916984,-3.5806508,-4.2425857,-4.2397923,-4.236346
-2.6013246,-2.6132607,-2.6476235,-2.5080705,-2.368176,-3.1738124,-3.9767518
