2014 SVI Single-Parent Household Encoding,2015 SVI Single-Parent Household Encoding,2016 SVI Single-Parent Household Encoding,2017 SVI Single-Parent Household Encoding,2018 SVI Single-Parent Household Encoding,2019 SVI Single-Parent Household Encoding,2020 SVI Single-Parent Household Encoding
80.09217,81.066895,82.04281,79.04482,76.03546,75.060104,74.02982
-88.02049,-88.36756,-88.71402,-85.84921,-82.97002,-82.524605,-82.01753
27.776335,29.134953,30.49389,30.284576,30.068747,26.604681,23.202938
51.82219,51.618805,51.41432,49.872986,48.346367,46.972946,45.641495
38.037743,40.585075,43.131367,41.89485,40.641075,38.552845,36.353447
5.570409,5.8485346,6.124799,4.5472784,2.9755535,5.161911,7.34968
86.374146,87.560844,88.74721,89.91339,91.07124,90.78162,90.44702
-26.566977,-27.380941,-28.196884,-27.988888,-27.784838,-27.927471,-28.055445
-107.610535,-107.21057,-106.809975,-106.8953,-106.97732,-107.192696,-107.53278
-14.231726,-15.072901,-15.912809,-18.121437,-20.311357,-22.126625,-24.016905
-32.115715,-31.833942,-31.553553,-30.13077,-28.692162,-28.1104,-27.413689
5.330799,6.1585617,6.9869156,9.161539,11.321846,12.303577,13.238625
88.22086,87.52978,86.84005,86.1101,85.36686,84.11207,82.82881
-4.1164017,-3.8885832,-3.6611538,-5.672083,-7.6886225,-8.828851,-10.067415
-63.60911,-63.738804,-63.870705,-62.88941,-61.89279,-62.838814,-63.822536
-4.4552093,-4.965175,-5.476806,-5.629682,-5.783113,-9.564805,-13.196902
-20.794075,-22.335648,-23.877102,-22.939384,-21.994804,-18.944582,-15.955154
-75.3537,-76.393684,-77.435326,-76.837006,-76.24757,-72.4807,-68.55132
-68.23595,-67.60625,-66.97714,-65.97008,-64.97288,-63.83907,-62.734062
49.596252,50.114635,50.633358,49.950886,49.274208,51.75785,54.24085
-14.190798,-15.2564,-16.322088,-18.352797,-20.385859,-22.860981,-25.298767
34.049976,34.572556,35.093033,35.653122,36.196617,34.748,33.15654
76.84832,76.37349,75.89758,74.68079,73.47155,71.41363,69.50457
37.22626,37.913364,38.600243,38.500736,38.416367,38.02705,37.775555
6.6337113,7.0308585,7.4272428,6.6383505,5.861813,2.9699779,0.25614977
-10.02948,-10.47946,-10.929163,-12.98201,-15.040272,-15.972334,-16.968666
80.17095,80.52287,80.87468,80.431015,79.97104,79.20826,78.52203
37.352524,38.102066,38.853676,38.89743,38.929237,37.316345,35.847515
-18.42252,-18.006203,-17.590107,-18.533314,-19.467155,-16.912735,-14.204249
10.243129,8.750306,7.2568007,6.5662947,5.8662815,6.8688498,7.859908
48.343807,48.86574,49.386906,49.484447,49.578064,52.41285,55.07542
-8.582113,-10.180597,-11.779728,-10.5238905,-9.261491,-7.7740116,-6.319055
65.67834,65.9516,66.22462,68.17991,70.15055,71.89684,73.50319
110.386894,110.37456,110.36137,110.5257,110.70255,110.38421,109.90536
36.681396,37.19756,37.71589,35.225975,32.748714,34.898933,36.948196
5.9742236,7.5413585,9.109155,11.960704,14.801265,18.124258,21.401346
1.9698471,3.6252863,5.2804437,7.10208,8.933506,10.110072,11.332392
-82.99463,-84.087265,-85.180405,-87.14755,-89.09822,-88.15667,-87.155136
49.39028,50.212147,51.034626,51.275867,51.53206,48.66272,45.79493
47.389072,46.712734,46.035297,45.236584,44.42696,43.84247,43.261658
9.926148,9.896037,9.864356,9.69093,9.505231,10.663293,11.749499
18.870377,17.693018,16.514664,15.571869,14.611905,15.726168,16.763493
53.30214,55.69331,58.08476,57.91523,57.76287,58.7399,59.516304
