2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding
44.03,49.11,54.19,58.38,62.56,52.62,42.68
50.08,45.58,41.07,33.78,26.49,20.85,15.21
12.61,8.82,5.03,5.2,5.38,15.31,25.24
83.22,86.3,89.37,85.53,81.69,83.43,85.17
99.68,99.7,99.71,99.36,99.01,97.85,96.69
94.49,94.02,93.54,91.2,88.86,91.5,94.14
72.62,71.26,69.91,71.74,73.58,69.14,64.7
71.12,73.7,76.28,76.33,76.38,75.11,73.84
6.91,5.76,4.62,5.0,5.38,5.35,5.32
91.56,91.6,91.63,91.26,90.89,79.01,67.12
0.38,0.35,0.32,0.35,0.38,0.54,0.7
0.0,0.0,0.0,0.02,0.03,0.1,0.16
8.63,9.88,11.14,8.8,6.46,5.25,4.04
16.71,17.3,17.89,19.55,21.2,21.01,20.81
71.76,74.93,78.1,77.24,76.38,70.54,64.7
5.76,4.09,2.42,2.1,1.78,1.94,2.1
9.71,6.44,3.18,2.9,2.61,3.01,3.41
0.89,0.48,0.06,0.08,0.1,0.13,0.16
0.54,0.73,0.92,1.16,1.4,1.67,1.94
39.83,64.6,89.37,92.14,94.91,92.38,89.85
86.82,91.4,95.99,95.38,94.78,92.94,91.09
9.11,5.3,1.5,0.98,0.45,12.84,25.24
5.76,5.73,5.7,5.81,5.92,7.05,8.18
44.03,55.38,66.73,53.74,40.75,29.34,17.92
65.27,62.67,60.08,48.18,36.29,43.37,50.45
2.23,4.17,6.11,11.89,17.67,25.94,34.21
4.11,3.55,2.99,2.97,2.96,3.76,4.55
5.48,5.59,5.7,5.65,5.6,6.25,6.91
73.96,76.34,78.73,83.8,88.86,90.54,92.23
79.53,78.22,76.92,64.57,52.21,56.71,61.2
42.31,42.7,43.08,38.11,33.14,41.32,49.49
37.03,38.08,39.13,40.28,41.42,43.32,45.23
83.22,84.96,86.69,76.13,65.58,37.55,9.52
11.97,9.8,7.64,11.38,15.12,24.66,34.21
45.78,49.33,52.88,59.23,65.58,65.14,64.7
50.08,56.84,63.61,63.08,62.56,51.4,40.23
17.54,16.84,16.14,16.27,16.4,12.75,9.1
83.79,83.79,83.79,85.06,86.34,84.91,83.48
13.34,10.2,7.07,17.16,27.25,20.33,13.4
4.81,6.94,9.07,12.46,15.85,15.87,15.88
37.89,32.76,27.63,21.74,15.85,13.36,10.88
1.02,0.59,0.16,0.08,0.0,0.42,0.83
80.64,80.29,79.94,75.24,70.55,68.84,67.12
69.79,71.8,73.8,75.95,78.1,76.59,75.08
16.05,11.22,6.4,7.68,8.95,20.53,32.11
60.17,56.53,52.88,64.01,75.14,79.83,84.53
0.54,0.42,0.29,0.19,0.1,0.32,0.54
72.62,67.22,61.83,64.04,66.25,55.23,44.21
2.55,11.84,21.14,26.02,30.91,15.63,0.35
5.48,4.9,4.33,2.42,0.51,0.3,0.1
41.45,41.78,42.12,51.88,61.64,58.73,55.82
0.19,0.29,0.38,0.35,0.32,0.37,0.41
38.78,36.61,34.45,37.6,40.75,40.17,39.59
26.52,29.94,33.37,25.22,17.06,15.23,13.4
10.98,9.31,7.64,7.31,6.97,8.92,10.88
9.71,14.71,19.71,19.06,18.4,11.06,3.72
3.76,3.66,3.57,3.71,3.85,4.8,5.76
19.8,18.84,17.89,17.48,17.06,17.87,18.68
8.25,8.66,9.07,10.46,11.84,17.12,22.41
6.24,7.28,8.31,9.35,10.38,10.94,11.49
