2014 SVI Below Poverty Data and Encoding,2015 SVI Below Poverty Data and Encoding,2016 SVI Below Poverty Data and Encoding,2017 SVI Below Poverty Data and Encoding,2018 SVI Below Poverty Data and Encoding,2019 SVI Below Poverty Data and Encoding,2020 SVI Below Poverty Data and Encoding
56.29,53.52,50.75,47.94,45.13,55.86,66.58
85.93,75.36,64.79,72.0,79.2,86.08,92.97
38.24,37.14,36.04,35.17,34.3,35.21,36.12
49.25,48.92,48.58,46.44,44.3,39.03,33.77
86.34,83.3,80.26,80.38,80.51,73.98,67.44
87.14,85.14,83.13,82.18,81.24,81.58,81.92
73.77,65.84,57.91,47.81,37.71,57.94,78.17
81.6,88.43,95.26,95.53,95.8,95.98,96.15
42.02,41.48,40.94,37.62,34.3,36.57,38.83
63.8,64.92,66.03,64.31,62.58,63.31,64.04
24.23,24.7,25.18,23.47,21.75,20.96,20.18
75.61,75.2,74.79,72.62,70.45,69.64,68.84
35.94,34.56,33.17,31.58,30.0,25.74,21.48
27.09,28.87,30.66,25.38,20.1,14.87,9.64
34.51,30.41,26.3,27.16,28.03,27.64,27.24
94.33,92.6,90.86,88.88,86.91,80.46,74.0
60.39,60.44,60.49,59.69,58.89,56.02,53.15
63.8,68.37,72.94,66.63,60.32,58.54,56.75
40.02,39.27,38.52,37.48,36.43,34.8,33.16
38.24,37.44,36.64,38.9,41.15,40.86,40.58
38.24,39.02,39.8,38.76,37.71,35.2,32.69
65.01,63.96,62.91,62.74,62.58,62.86,63.14
92.2,92.84,93.47,92.51,91.56,92.87,94.18
11.75,10.82,9.9,9.93,9.97,7.74,5.51
64.31,64.26,64.22,57.74,51.27,49.73,48.19
25.25,26.74,28.24,22.83,17.42,19.1,20.78
22.99,21.74,20.5,18.62,16.75,14.94,13.14
21.43,24.38,27.32,27.18,27.04,21.94,16.84
17.29,15.79,14.29,13.2,12.1,12.62,13.14
87.36,86.08,84.81,77.2,69.59,63.17,56.75
35.31,39.84,44.38,61.26,78.15,75.52,72.88
68.13,76.04,83.95,84.49,85.03,78.96,72.88
59.15,57.9,56.64,54.76,52.87,48.6,44.33
32.35,36.65,40.94,34.48,28.03,22.86,17.7
59.79,60.38,60.97,55.16,49.36,37.11,24.86
70.9,73.96,77.01,81.64,86.27,89.73,93.19
82.65,80.03,77.4,82.79,88.18,90.42,92.65
96.18,95.21,94.24,95.64,97.04,97.58,98.12
75.14,70.82,66.51,80.74,94.97,94.81,94.65
83.09,66.62,50.14,66.6,83.06,88.78,94.49
97.39,96.69,95.99,94.81,93.63,87.78,81.92
51.19,49.89,48.58,44.56,40.54,51.12,61.71
33.24,37.68,42.12,37.03,31.94,33.48,35.01
51.19,47.78,44.38,41.73,39.08,41.44,43.79
98.85,98.74,98.63,98.26,97.9,97.52,97.14
89.88,90.61,91.34,92.55,93.76,91.28,88.8
92.39,93.51,94.62,93.74,92.87,90.84,88.8
90.99,88.42,85.86,83.7,81.53,81.1,80.68
76.92,78.42,79.91,85.02,90.13,91.2,92.27
94.11,91.85,89.59,92.15,94.71,93.9,93.09
27.09,30.96,34.83,39.98,45.13,28.39,11.65
98.06,97.6,97.13,96.66,96.18,90.44,84.69
98.19,97.39,96.59,94.08,91.56,84.86,78.17
60.39,68.7,77.01,83.17,89.33,84.59,79.85
99.59,98.68,97.77,97.34,96.91,96.52,96.12
31.14,35.1,39.06,38.21,37.36,46.16,54.96
95.22,95.6,95.99,97.07,98.15,96.46,94.78
72.62,72.33,72.05,73.0,73.95,67.1,60.25
30.63,27.9,25.18,21.3,17.42,20.34,23.27
61.67,69.54,77.4,84.16,90.92,92.39,93.86
69.63,67.21,64.79,60.77,56.75,53.42,50.1
8.88,24.91,40.94,52.44,63.95,77.25,90.55
86.98,85.46,83.95,81.18,78.41,84.54,90.67
14.29,14.52,14.74,11.56,8.38,7.56,6.75
98.63,98.65,98.66,98.18,97.71,96.07,94.43
99.87,99.7,99.52,99.58,99.65,98.88,98.12
88.98,88.78,88.57,83.73,78.89,79.22,79.54
98.34,98.54,98.73,99.08,99.43,99.35,99.27
29.83,26.94,24.04,21.29,18.54,15.68,12.83
91.24,90.11,88.98,87.47,85.96,86.51,87.05
93.86,91.96,90.07,91.16,92.26,93.71,95.16
11.17,11.72,12.26,12.18,12.1,8.55,5.0
89.59,90.96,92.33,91.08,89.84,89.81,89.78
29.83,28.06,26.3,25.9,25.51,19.02,12.54
57.82,64.38,70.93,74.35,77.77,71.71,65.66
97.17,97.5,97.84,97.7,97.55,98.04,98.54
34.51,45.32,56.13,54.21,52.29,53.12,53.95
47.76,41.58,35.4,23.53,11.66,10.19,8.72
95.83,94.36,92.9,92.58,92.26,90.72,89.18
71.28,70.85,70.42,66.5,62.58,55.6,48.63
71.28,77.2,83.13,85.98,88.82,88.02,87.21
94.33,91.45,88.57,89.88,91.18,82.7,74.22
97.68,97.14,96.59,96.67,96.75,96.08,95.42
50.53,48.72,46.9,42.64,38.38,36.7,35.01
93.16,95.04,96.91,96.59,96.27,96.91,97.55
96.31,96.35,96.4,95.42,94.43,85.72,77.02
15.57,17.39,19.2,15.18,11.15,13.04,14.93
75.61,74.96,74.31,75.58,76.85,84.36,91.88
96.75,96.3,95.86,95.28,94.71,94.78,94.84
92.87,92.6,92.33,93.7,95.06,94.56,94.05
83.09,73.94,64.79,52.97,41.15,52.59,64.04
6.02,5.01,4.01,3.14,2.26,2.19,2.13
78.64,76.48,74.31,74.62,74.94,74.31,73.68
3.63,3.25,2.87,2.8,2.74,1.77,0.8
76.66,83.57,90.48,91.02,91.56,82.89,74.22
60.39,59.47,58.55,55.42,52.29,44.96,37.62
78.64,75.61,72.59,66.46,60.32,60.6,60.88
52.98,49.94,46.9,59.34,71.78,72.33,72.88
71.73,70.28,68.83,70.3,71.78,62.22,52.67
75.14,76.27,77.4,78.14,78.89,75.1,71.32
96.85,96.4,95.96,92.28,88.6,83.38,78.17
91.24,89.9,88.57,87.26,85.96,76.7,67.44
35.31,34.24,33.17,30.1,27.04,27.35,27.66
60.39,63.45,66.51,57.25,47.99,47.77,47.55
66.7,64.81,62.91,55.76,48.6,46.76,44.91
97.8,97.4,97.01,93.57,90.13,92.31,94.49
76.92,76.68,76.44,65.58,54.71,46.46,38.22
7.67,7.71,7.74,6.08,4.43,3.98,3.53
88.6,84.26,79.91,73.68,67.45,63.12,58.78
83.57,71.06,58.55,56.96,55.38,61.19,67.0
28.33,27.82,27.32,24.24,21.15,18.92,16.68
52.98,58.89,64.79,60.4,56.02,44.36,32.69
82.01,85.93,89.84,91.92,94.01,92.98,91.95
42.79,39.42,36.04,30.5,24.97,22.58,20.18
81.12,78.35,75.58,72.58,69.59,72.67,75.75
88.32,83.24,78.16,79.48,80.8,86.1,91.41
97.26,96.48,95.7,93.63,91.56,89.84,88.13
96.12,95.6,95.07,95.86,96.66,97.87,99.08
82.01,86.24,90.48,88.62,86.75,88.71,90.67
45.85,41.68,37.5,44.39,51.27,47.32,43.38
72.62,77.88,83.13,81.4,79.68,65.54,51.4
96.63,95.79,94.94,92.14,89.33,93.25,97.17
