2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding
14.07,18.46,22.86,16.94,11.02,7.78,4.55
41.48,44.52,47.56,44.41,41.26,25.7,10.15
0.13,0.76,1.4,1.67,1.94,49.16,96.37
10.92,15.78,20.63,21.84,23.05,25.66,28.26
9.81,5.08,0.35,0.68,1.02,1.1,1.18
39.26,34.4,29.54,25.12,20.69,24.48,28.26
79.18,77.68,76.19,70.74,65.3,38.3,11.3
76.73,63.04,49.35,61.26,73.16,54.88,36.6
65.39,46.24,27.09,31.61,36.13,31.32,26.51
28.43,25.62,22.8,15.29,7.77,16.26,24.76
28.97,27.74,26.52,22.94,19.36,20.26,21.16
48.68,35.57,22.45,27.46,32.47,44.86,57.26
19.23,27.43,35.63,23.62,11.62,8.54,5.47
39.7,52.78,65.87,50.11,34.35,27.18,20.02
56.61,64.36,72.11,68.7,65.3,63.94,62.57
0.0,1.58,3.15,6.27,9.39,5.97,2.55
41.13,46.38,51.64,72.84,94.05,90.4,86.76
72.02,48.89,25.76,30.94,36.13,30.44,24.76
37.15,32.52,27.89,20.9,13.91,11.17,8.43
92.65,93.66,94.68,92.44,90.19,87.8,85.42
90.7,88.33,85.96,88.46,90.96,66.15,41.34
1.34,2.39,3.44,5.6,7.77,7.18,6.59
8.05,5.7,3.34,2.13,0.92,2.06,3.21
42.85,24.13,5.41,4.7,3.98,7.06,10.15
3.76,22.14,40.53,44.76,49.0,62.2,75.4
84.78,80.0,75.23,79.53,83.83,72.46,61.08
83.76,81.46,79.15,80.5,81.85,79.28,76.7
21.78,17.23,12.67,14.2,15.73,17.88,20.02
41.42,46.56,51.7,57.84,63.99,60.62,57.26
22.73,14.94,7.16,7.84,8.53,15.69,22.85
14.01,8.06,2.1,2.58,3.06,31.08,59.1
4.08,9.56,15.03,8.15,1.27,2.91,4.55
24.01,27.85,31.68,30.64,29.61,30.05,30.49
54.57,42.58,30.6,32.48,34.35,59.88,85.42
11.11,9.38,7.64,6.54,5.44,3.68,1.91
32.6,34.89,37.19,28.94,20.69,16.0,11.3
13.72,24.0,34.29,44.2,54.12,48.64,43.16
58.39,57.18,55.97,49.64,43.3,51.2,59.1
3.98,9.9,15.82,32.41,49.0,47.08,45.16
46.83,48.63,50.43,48.78,47.12,52.19,57.26
78.35,75.24,72.14,70.23,68.32,69.96,71.61
15.76,13.88,12.0,13.86,15.73,18.44,21.16
24.04,21.82,19.61,21.73,23.85,32.6,41.34
68.61,66.27,63.93,63.96,63.99,71.06,78.13
70.65,73.5,76.35,73.74,71.12,68.24,65.37
44.79,37.3,29.8,25.24,20.69,19.04,17.38
81.95,79.54,77.14,76.96,76.79,78.5,80.2
87.97,86.42,84.88,85.18,85.48,88.27,91.06
70.9,69.99,69.09,64.87,60.65,65.4,70.15
47.63,41.96,36.29,35.32,34.35,35.48,36.6
60.14,62.39,64.63,59.38,54.12,62.86,71.61
37.82,35.05,32.28,28.82,25.37,36.25,47.14
84.5,77.19,69.88,77.25,84.62,60.61,36.6
54.25,55.84,57.43,58.4,59.38,60.98,62.57
57.05,58.45,59.85,70.31,80.77,84.78,88.8
41.83,40.82,39.8,36.14,32.47,31.48,30.49
78.1,78.13,78.16,76.42,74.69,74.31,73.93
69.05,68.94,68.83,53.37,37.92,23.52,9.13
9.36,8.67,7.99,6.39,4.78,6.96,9.13
13.05,13.05,13.05,12.78,12.51,14.94,17.38
72.14,68.79,65.43,68.7,71.98,67.27,62.57
24.23,25.78,27.32,26.99,26.65,23.9,21.16
59.79,51.32,42.85,41.23,39.61,44.38,49.14
91.15,90.83,90.51,85.22,79.94,80.55,81.16
11.81,31.37,50.94,49.97,49.0,28.72,8.43
81.38,80.66,79.94,82.28,84.62,84.7,84.79
46.8,37.33,27.86,24.28,20.69,39.9,59.1
12.16,14.66,17.16,16.44,15.73,22.0,28.26
26.2,18.61,11.02,9.78,8.53,14.27,20.02
94.97,94.94,94.91,95.06,95.22,94.95,94.68
16.24,25.28,34.32,50.67,67.02,69.89,72.76
39.51,34.91,30.31,29.12,27.92,21.71,15.5
76.25,66.19,56.13,47.87,39.61,56.18,72.76
