2014 SVI Aged 17 or Younger Data and Encoding,2015 SVI Aged 17 or Younger Data and Encoding,2016 SVI Aged 17 or Younger Data and Encoding,2017 SVI Aged 17 or Younger Data and Encoding,2018 SVI Aged 17 or Younger Data and Encoding,2019 SVI Aged 17 or Younger Data and Encoding,2020 SVI Aged 17 or Younger Data and Encoding
5.28,5.5,5.73,6.24,6.75,7.06,7.38
51.42,51.54,51.67,51.04,50.4,51.3,52.2
34.7,35.99,37.28,37.95,38.62,40.52,42.43
79.05,76.32,73.58,70.34,67.11,66.0,64.89
71.98,70.74,69.5,69.5,69.5,69.68,69.86
57.91,54.08,50.24,48.33,46.42,46.1,45.77
69.15,66.59,64.02,61.58,59.15,57.87,56.59
84.43,82.46,80.48,78.54,76.6,76.11,75.62
29.39,30.95,32.51,33.35,34.19,34.24,34.28
72.78,71.6,70.42,68.12,65.81,65.35,64.89
24.86,22.11,19.36,17.21,15.06,14.25,13.43
62.62,59.45,56.29,54.66,53.04,52.62,52.2
80.17,79.77,79.37,78.96,78.54,78.97,79.41
2.9,3.16,3.41,3.12,2.83,3.04,3.25
62.78,63.6,64.41,64.24,64.06,64.47,64.89
53.42,52.88,52.34,51.92,51.51,51.86,52.2
51.13,48.88,46.64,44.22,41.8,40.65,39.5
83.0,81.9,80.8,80.04,79.27,78.48,77.69
2.71,3.4,4.08,4.73,5.38,6.03,6.68
9.71,10.14,10.57,10.41,10.25,10.95,11.65
45.05,45.99,46.93,46.68,46.42,46.1,45.77
38.08,39.75,41.42,43.22,45.02,46.08,47.14
6.08,6.16,6.24,6.35,6.46,6.75,7.03
28.91,30.18,31.45,31.18,30.91,29.97,29.03
2.99,2.83,2.67,2.39,2.1,2.16,2.23
8.53,7.71,6.88,6.67,6.46,6.3,6.14
33.59,32.86,32.12,31.51,30.91,31.02,31.13
9.17,8.49,7.8,10.62,13.44,9.73,6.02
44.44,43.33,42.22,41.1,39.99,38.95,37.91
9.74,9.17,8.6,7.97,7.35,7.36,7.38
52.4,50.74,49.09,46.16,43.23,42.0,40.77
2.48,2.21,1.94,1.74,1.53,1.54,1.56
25.18,25.49,25.79,24.16,22.54,22.66,22.79
25.37,22.6,19.83,26.0,32.16,17.91,3.66
39.0,38.36,37.73,36.39,35.05,34.1,33.16
55.84,52.78,49.73,47.38,45.02,42.9,40.77
4.39,4.61,4.84,4.98,5.13,5.3,5.47
46.23,44.32,42.41,39.94,37.47,36.6,35.74
0.6,0.57,0.54,0.56,0.57,0.57,0.57
2.01,1.96,1.91,1.85,1.78,2.18,2.58
82.84,81.7,80.55,79.91,79.27,78.48,77.69
18.31,16.81,15.31,14.85,14.39,14.22,14.04
15.73,14.06,12.38,11.84,11.3,10.78,10.25
11.02,9.98,8.95,9.12,9.3,10.02,10.73
3.85,4.16,4.46,6.88,9.3,9.12,8.94
60.84,58.03,55.21,53.36,51.51,50.6,49.68
32.57,31.34,30.12,29.29,28.46,27.46,26.45
14.71,13.82,12.93,12.12,11.3,11.02,10.73
50.68,50.33,49.98,48.2,46.42,46.1,45.77
63.48,64.9,66.32,65.19,64.06,65.22,66.39
61.7,61.54,61.38,61.57,61.76,61.46,61.17
40.97,38.0,35.02,33.59,32.16,31.64,31.13
27.67,25.18,22.7,20.62,18.53,17.02,15.5
11.21,8.93,6.65,6.12,5.6,5.36,5.12
20.09,16.22,12.35,11.82,11.3,11.3,11.3
20.34,20.43,20.53,20.24,19.96,21.38,22.79
63.67,61.41,59.15,57.46,55.78,53.99,52.2
9.93,10.08,10.22,9.35,8.47,10.38,12.29
21.04,22.67,24.29,23.42,22.54,22.66,22.79
23.65,22.14,20.63,21.12,21.62,22.2,22.79
44.95,42.5,40.05,37.55,35.05,34.1,33.16
33.4,29.78,26.17,23.53,20.89,19.31,17.73
68.29,66.04,63.8,61.48,59.15,57.87,56.59
13.18,14.71,16.24,16.11,15.98,16.01,16.04
2.26,2.18,2.1,2.1,2.1,2.68,3.25
30.85,29.9,28.94,28.21,27.48,26.96,26.45
24.36,24.28,24.2,23.86,23.53,22.58,21.64
51.26,49.82,48.39,47.4,46.42,46.1,45.77
22.06,22.48,22.89,23.21,23.53,24.99,26.45
17.77,17.18,16.59,16.75,16.91,17.32,17.73
21.55,21.84,22.13,22.34,22.54,22.09,21.64
73.29,67.1,60.9,62.48,64.06,58.13,52.2
3.25,3.58,3.92,4.04,4.17,4.47,4.77
3.44,3.26,3.09,3.09,3.09,3.93,4.77
4.9,5.19,5.48,5.97,6.46,7.19,7.92
45.72,45.32,44.92,43.36,41.8,42.12,42.43
43.33,43.04,42.76,43.0,43.23,42.83,42.43
38.33,37.53,36.74,35.0,33.27,33.22,33.16
84.72,83.94,83.16,81.66,80.17,78.93,77.69
5.99,4.76,3.53,3.14,2.74,2.2,1.65
4.2,4.35,4.49,4.0,3.5,3.84,4.17
51.83,47.57,43.3,39.17,35.05,33.09,31.13
5.76,5.14,4.52,4.35,4.17,4.09,4.01
43.97,42.06,40.15,38.81,37.47,36.6,35.74
69.31,63.53,57.75,52.66,47.56,42.74,37.91
3.88,3.93,3.98,4.08,4.17,4.47,4.77
4.93,4.26,3.6,3.34,3.09,3.17,3.25
43.65,42.25,40.85,39.16,37.47,36.6,35.74
7.2,7.71,8.21,7.64,7.07,7.22,7.38
7.26,7.44,7.61,8.28,8.95,9.41,9.87
27.03,27.66,28.3,27.36,26.42,26.83,27.24
12.26,12.1,11.94,11.91,11.88,12.42,12.95
17.99,16.53,15.06,13.74,12.42,12.04,11.65
47.63,45.16,42.69,40.65,38.62,39.06,39.5
60.94,60.26,59.57,60.03,60.49,60.83,61.17
55.59,53.21,50.84,47.04,43.23,41.36,39.5
57.85,57.1,56.35,54.7,53.04,52.62,52.2
2.1,1.74,1.37,1.42,1.46,1.56,1.65
69.44,68.61,67.78,65.92,64.06,63.82,63.59
65.33,62.5,59.66,57.72,55.78,55.5,55.22
48.36,45.91,43.46,40.46,37.47,35.88,34.28
71.0,67.24,63.48,62.62,61.76,59.18,56.59
13.63,12.52,11.4,11.05,10.7,11.5,12.29
0.86,0.68,0.51,0.43,0.35,0.36,0.38
68.16,66.16,64.15,59.96,55.78,54.74,53.69
14.74,13.7,12.67,13.06,13.44,15.58,17.73
40.91,39.46,38.01,36.1,34.19,34.24,34.28
82.49,81.51,80.52,78.96,77.4,75.88,74.35
3.28,3.28,3.28,3.12,2.96,3.23,3.5
1.27,1.44,1.62,1.76,1.91,1.98,2.04
46.45,44.7,42.95,40.78,38.62,39.7,40.77
48.01,44.76,41.52,38.9,36.29,34.72,33.16
81.98,82.38,82.78,81.92,81.06,80.77,80.49
51.45,49.12,46.8,44.3,41.8,40.65,39.5
10.44,10.58,10.73,9.18,7.64,7.06,6.49
53.45,49.61,45.78,42.88,39.99,37.86,35.74
41.99,38.87,35.75,33.96,32.16,30.6,29.03
76.22,74.34,72.46,70.36,68.26,67.32,66.39
18.85,17.6,16.36,14.9,13.44,13.44,13.43
74.02,73.27,72.52,71.87,71.22,71.29,71.36
63.04,63.17,63.29,63.67,64.06,64.47,64.89
5.0,4.9,4.81,4.84,4.87,5.0,5.12
79.37,78.22,77.08,75.56,74.05,74.2,74.35
74.56,76.31,78.06,78.3,78.54,78.54,78.55
81.12,82.49,83.86,83.98,84.11,84.83,85.55
76.25,77.54,78.83,81.06,83.29,85.22,87.14
22.67,25.02,27.38,27.92,28.46,33.98,39.5
13.21,15.04,16.87,18.11,19.36,20.5,21.64
34.8,36.61,38.43,41.72,45.02,45.4,45.77
57.43,55.32,53.2,53.85,54.5,54.1,53.69
95.22,94.73,94.24,93.81,93.38,92.8,92.23
29.54,31.4,33.27,33.73,34.19,34.24,34.28
51.19,53.58,55.97,58.86,61.76,63.33,64.89
72.65,68.59,64.53,62.51,60.49,60.12,59.74
54.09,58.52,62.94,68.49,74.05,77.65,81.25
75.77,77.65,79.53,80.7,81.88,82.34,82.81
2.2,2.33,2.45,2.23,2.01,2.48,2.96
61.54,64.47,67.4,71.34,75.29,77.35,79.41
45.65,45.35,45.05,44.14,43.23,42.0,40.77
83.99,83.0,82.01,81.09,80.17,79.79,79.41
93.31,93.22,93.12,92.16,91.21,90.88,90.55
30.79,31.71,32.63,34.46,36.29,37.9,39.5
31.45,34.49,37.54,41.98,46.42,48.05,49.68
65.93,68.14,70.36,73.88,77.4,78.94,80.49
36.9,38.38,39.86,41.54,43.23,45.18,47.14
54.63,53.93,53.23,53.14,53.04,51.36,49.68
30.18,35.18,40.18,44.62,49.06,55.72,62.38
43.94,44.92,45.91,46.16,46.42,47.24,48.06
36.84,36.12,35.4,37.7,39.99,43.56,47.14
30.47,34.21,37.95,35.61,33.27,33.22,33.16
80.77,79.46,78.16,76.1,74.05,72.7,71.36
31.68,32.34,33.01,33.14,33.27,32.56,31.86
43.9,45.13,46.35,45.68,45.02,44.5,43.98
47.09,44.1,41.1,40.54,39.99,39.74,39.5
63.2,66.2,69.21,72.25,75.29,77.35,79.41
38.36,37.58,36.8,38.4,39.99,38.95,37.91
18.02,16.53,15.03,13.96,12.89,11.57,10.25
25.69,23.1,20.5,18.7,16.91,19.85,22.79
7.99,8.23,8.47,7.77,7.07,7.82,8.56
14.07,11.64,9.2,9.95,10.7,17.28,23.87
76.5,75.85,75.2,73.91,72.62,72.72,72.82
38.9,43.95,49.0,54.08,59.15,64.5,69.86
71.31,75.28,79.24,81.68,84.11,86.31,88.51
72.97,70.56,68.16,65.54,62.91,62.64,62.38
97.33,97.47,97.61,97.85,98.09,98.17,98.25
53.17,55.38,57.59,56.68,55.78,59.08,62.38
34.99,36.82,38.65,38.64,38.62,41.3,43.98
77.2,77.79,78.38,77.49,76.6,77.57,78.55
76.76,75.06,73.35,74.98,76.6,75.48,74.35
66.67,66.16,65.65,65.73,65.81,68.59,71.36
80.04,80.47,80.9,82.1,83.29,84.42,85.55
32.25,31.66,31.07,32.63,34.19,37.48,40.77
41.83,43.6,45.37,45.19,45.02,46.54,48.06
86.63,88.36,90.1,91.06,92.01,93.32,94.62
54.66,55.36,56.06,60.06,64.06,67.71,71.36
78.16,79.02,79.88,80.02,80.17,80.33,80.49
31.39,33.51,35.63,37.81,39.99,41.98,43.98
59.57,59.0,58.42,61.24,64.06,64.47,64.89
29.45,28.04,26.62,25.08,23.53,22.32,21.1
73.83,76.25,78.67,80.27,81.88,85.2,88.51
59.79,62.11,64.44,67.83,71.22,74.89,78.55
30.5,31.26,32.03,31.47,30.91,29.97,29.03
56.35,59.12,61.89,62.98,64.06,65.22,66.39
74.31,76.36,78.41,78.84,79.27,79.88,80.49
71.47,73.91,76.35,76.88,77.4,80.1,82.81
44.35,46.24,48.14,52.64,57.15,59.76,62.38
49.19,47.07,44.95,44.98,45.02,45.4,45.77
79.43,81.44,83.44,83.09,82.74,81.08,79.41
82.08,81.52,80.96,79.18,77.4,77.0,76.61
12.83,13.15,13.47,14.26,15.06,15.55,16.04
96.28,95.98,95.67,95.52,95.38,94.78,94.18
93.89,93.32,92.74,92.38,92.01,91.66,91.31
78.54,77.06,75.58,73.4,71.22,69.44,67.66
50.97,52.62,54.28,56.72,59.15,62.02,64.89
85.74,85.42,85.1,84.9,84.69,84.94,85.2
28.27,29.08,29.89,31.02,32.16,34.44,36.73
29.51,36.77,44.03,47.77,51.51,54.94,58.37
71.22,71.08,70.93,70.22,69.5,71.16,72.82
29.19,26.87,24.55,27.11,29.67,26.77,23.87
48.46,47.94,47.41,43.02,38.62,39.7,40.77
66.99,71.78,76.57,79.66,82.74,84.94,87.14
64.66,62.91,61.16,63.48,65.81,66.74,67.66
85.55,84.66,83.76,82.82,81.88,81.18,80.49
76.15,75.23,74.31,75.46,76.6,77.14,77.69
60.39,58.8,57.21,50.22,43.23,44.5,45.77
8.31,8.69,9.07,9.18,9.3,9.58,9.87
95.8,95.78,95.77,95.67,95.57,95.35,95.13
59.12,59.42,59.73,60.11,60.49,62.69,64.89
33.43,40.3,47.18,39.04,30.91,35.2,39.5
68.0,68.59,69.18,68.14,67.11,65.35,63.59
35.05,34.58,34.1,31.88,29.67,29.35,29.03
85.64,85.43,85.23,85.54,85.86,85.71,85.55
66.32,61.68,57.05,49.42,41.8,38.77,35.74
82.55,82.64,82.74,82.74,82.74,82.32,81.89
73.73,74.26,74.79,73.01,71.22,69.99,68.75
21.24,20.71,20.18,18.55,16.91,16.2,15.5
83.41,83.23,83.06,82.47,81.88,82.34,82.81
57.24,56.56,55.87,51.72,47.56,45.77,43.98
47.25,42.7,38.14,39.97,41.8,46.3,50.8
65.52,64.31,63.1,58.07,53.04,52.62,52.2
80.32,77.98,75.64,69.27,62.91,61.33,59.74
94.72,94.18,93.63,93.8,93.98,93.38,92.78
68.23,68.84,69.44,66.75,64.06,63.82,63.59
83.51,82.38,81.25,81.99,82.74,81.08,79.41
91.75,91.16,90.58,89.96,89.33,88.68,88.03
58.74,58.64,58.55,60.16,61.76,63.33,64.89
77.71,77.67,77.62,75.12,72.62,70.14,67.66
88.63,89.03,89.43,90.08,90.74,91.02,91.31
24.45,24.85,25.25,22.6,19.96,19.85,19.73
68.13,68.08,68.04,68.77,69.5,71.92,74.35
49.73,49.35,48.97,42.01,35.05,31.14,27.24
71.6,73.29,74.98,75.13,75.29,74.82,74.35
85.07,83.43,81.79,80.98,80.17,78.93,77.69
92.23,91.92,91.6,90.46,89.33,88.24,87.14
93.09,93.06,93.03,91.88,90.74,90.85,90.96
1.24,1.51,1.78,1.65,1.53,1.28,1.02
46.04,46.56,47.09,45.16,43.23,43.6,43.98
76.66,75.7,74.75,72.12,69.5,68.58,67.66
60.74,60.04,59.34,58.24,57.15,56.87,56.59
64.25,63.22,62.18,60.66,59.15,54.42,49.68
39.29,35.07,30.85,27.78,24.71,24.59,24.47
84.15,84.71,85.26,85.56,85.86,85.53,85.2
39.13,34.28,29.42,22.7,15.98,14.71,13.43
6.97,7.26,7.55,8.42,9.3,11.12,12.95
86.66,86.06,85.45,84.78,84.11,83.46,82.81
71.89,71.62,71.35,70.43,69.5,69.12,68.75
73.48,75.72,77.97,78.26,78.54,78.97,79.41
95.64,95.37,95.1,92.92,90.74,90.04,89.34
87.3,87.32,87.33,86.93,86.53,86.24,85.96
90.74,92.1,93.47,94.06,94.65,94.73,94.81
82.94,81.48,80.01,78.31,76.6,72.13,67.66
74.15,71.5,68.86,70.04,71.22,71.29,71.36
87.23,86.61,85.99,85.64,85.29,84.93,84.56
79.56,74.64,69.72,66.32,62.91,64.65,66.39
46.48,46.08,45.69,42.16,38.62,37.18,35.74
59.09,60.74,62.4,59.78,57.15,56.18,55.22
60.2,59.04,57.88,56.83,55.78,57.08,58.37
95.45,95.2,94.94,95.01,95.07,94.52,93.98
81.88,83.32,84.75,85.02,85.29,83.59,81.89
86.72,86.46,86.21,85.16,84.11,83.0,81.89
6.02,5.86,5.7,6.22,6.75,7.46,8.18
89.59,88.62,87.65,86.17,84.69,84.62,84.56
67.91,64.04,60.17,56.6,53.04,53.36,53.69
68.67,66.8,64.92,64.49,64.06,61.9,59.74
89.97,90.22,90.48,90.06,89.65,89.49,89.34
89.33,90.1,90.86,91.58,92.3,92.11,91.92
61.38,59.78,58.17,55.6,53.04,54.81,56.59
83.67,82.64,81.6,79.1,76.6,70.74,64.89
75.96,75.91,75.87,72.68,69.5,66.54,63.59
89.43,89.88,90.32,90.53,90.74,91.76,92.78
82.46,82.49,82.52,79.96,77.4,75.88,74.35
86.34,85.0,83.67,80.54,77.4,75.11,72.82
77.3,75.47,73.64,74.46,75.29,69.44,63.59
55.97,53.71,51.45,48.93,46.42,46.1,45.77
64.6,64.14,63.67,60.41,57.15,53.42,49.68
30.88,28.8,26.71,24.16,21.62,21.36,21.1
78.67,77.14,75.61,69.84,64.06,64.47,64.89
77.52,78.86,80.2,80.18,80.17,79.36,78.55
43.27,44.4,45.53,45.28,45.02,42.9,40.77
96.91,96.91,96.91,96.94,96.98,96.8,96.63
83.79,84.16,84.53,84.61,84.69,84.62,84.56
82.71,80.18,77.65,72.96,68.26,65.92,63.59
82.33,82.36,82.39,79.9,77.4,75.88,74.35
91.24,90.74,90.23,89.78,89.33,88.92,88.51
83.76,84.06,84.37,82.72,81.06,82.34,83.61
73.19,72.19,71.19,71.21,71.22,70.54,69.86
42.22,41.76,41.29,39.38,37.47,37.1,36.73
68.7,67.81,66.92,64.34,61.76,57.72,53.69
62.53,61.64,60.74,58.94,57.15,54.68,52.2
73.38,73.76,74.15,75.38,76.6,73.23,69.86
8.66,9.17,9.68,8.77,7.86,10.95,14.04
55.17,55.7,56.22,58.36,60.49,61.43,62.38
17.61,15.95,14.29,14.68,15.06,18.92,22.79
66.09,63.21,60.33,61.62,62.91,62.04,61.17
58.58,56.66,54.73,54.62,54.5,56.44,58.37
83.32,81.8,80.29,77.79,75.29,72.02,68.75
72.4,73.16,73.93,72.58,71.22,69.99,68.75
5.35,5.64,5.92,6.34,6.75,7.06,7.38
47.95,46.22,44.48,44.75,45.02,44.5,43.98
23.81,24.54,25.28,25.0,24.71,25.98,27.24
55.24,55.46,55.68,55.73,55.78,55.5,55.22
56.64,59.65,62.66,64.89,67.11,69.24,71.36
73.35,73.42,73.48,73.76,74.05,71.96,69.86
38.62,37.52,36.42,35.3,34.19,35.46,36.73
9.33,9.8,10.28,8.96,7.64,8.29,8.94
33.81,34.47,35.12,35.7,36.29,37.1,37.91
63.29,58.85,54.41,54.46,54.5,52.65,50.8
74.91,73.99,73.07,77.48,81.88,80.21,78.55
85.23,84.13,83.03,81.15,79.27,77.94,76.61
56.03,62.5,68.96,72.12,75.29,76.92,78.55
44.57,48.25,51.93,54.54,57.15,57.76,58.37
89.3,89.02,88.73,88.3,87.87,87.22,86.57
62.91,61.84,60.78,60.63,60.49,60.83,61.17
82.23,81.66,81.09,79.82,78.54,77.57,76.61
70.3,70.95,71.6,69.93,68.26,68.5,68.75
55.87,55.4,54.92,53.98,53.04,53.36,53.69
44.73,43.6,42.47,42.85,43.23,45.18,47.14
65.71,66.1,66.48,63.48,60.49,60.12,59.74
35.37,33.86,32.35,31.63,30.91,29.97,29.03
65.65,66.36,67.08,71.18,75.29,73.32,71.36
85.77,87.1,88.44,87.79,87.14,87.82,88.51
4.11,4.23,4.36,4.08,3.79,5.58,7.38
53.01,55.0,56.99,56.38,55.78,53.99,52.2
34.48,35.44,36.39,36.34,36.29,41.72,47.14
84.78,86.23,87.68,87.78,87.87,87.95,88.03
68.04,66.06,64.09,62.93,61.76,61.46,61.17
35.21,34.43,33.65,33.92,34.19,32.66,31.13
71.92,72.6,73.29,75.91,78.54,82.56,86.57
27.38,28.76,30.15,31.16,32.16,32.01,31.86
65.14,65.32,65.49,63.62,61.76,71.12,80.49
69.18,74.4,79.62,79.08,78.54,79.52,80.49
45.27,46.74,48.2,48.63,49.06,49.37,49.68
4.71,4.95,5.19,5.03,4.87,5.27,5.67
16.05,18.49,20.92,23.21,25.5,26.37,27.24
45.53,44.92,44.32,46.69,49.06,44.92,40.77
74.66,74.9,75.14,71.7,68.26,71.94,75.62
35.72,33.66,31.61,31.26,30.91,31.38,31.86
69.5,70.48,71.47,70.48,69.5,69.68,69.86
84.75,84.78,84.81,84.46,84.11,83.86,83.61
72.81,71.92,71.03,69.07,67.11,66.0,64.89
42.02,40.74,39.45,39.03,38.62,39.7,40.77
69.72,72.54,75.36,71.81,68.26,70.54,72.82
74.82,74.42,74.02,76.28,78.54,80.21,81.89
64.44,63.34,62.24,62.0,61.76,60.75,59.74
86.12,85.93,85.74,85.52,85.29,85.93,86.57
53.87,52.84,51.8,55.48,59.15,57.87,56.59
90.83,90.08,89.33,88.24,87.14,86.85,86.57
70.46,69.28,68.1,69.66,71.22,70.54,69.86
29.96,32.69,35.43,37.02,38.62,37.68,36.73
90.39,90.15,89.91,88.89,87.87,88.44,89.02
66.03,67.53,69.02,68.64,68.26,67.96,67.66
59.28,59.6,59.92,57.21,54.5,60.45,66.39
50.21,42.25,34.29,30.35,26.42,27.72,29.03
61.41,63.65,65.9,69.26,72.62,71.24,69.86
71.19,76.41,81.63,83.74,85.86,81.77,77.69
65.62,65.3,64.98,66.62,68.26,69.06,69.86
46.1,47.63,49.16,46.2,43.23,38.2,33.16
78.86,81.9,84.94,84.82,84.69,84.15,83.61
50.14,48.95,47.76,48.41,49.06,46.52,43.98
55.65,55.98,56.32,55.41,54.5,51.28,48.06
36.36,39.47,42.57,47.8,53.04,56.39,59.74
59.76,61.13,62.5,63.28,64.06,64.47,64.89
77.4,75.3,73.19,74.24,75.29,74.82,74.35
4.46,4.17,3.88,3.69,3.5,3.58,3.66
46.67,47.45,48.23,47.9,47.56,52.08,56.59
70.26,66.73,63.2,62.48,61.76,62.07,62.38
10.76,12.1,13.44,16.4,19.36,18.08,16.8
90.77,90.51,90.26,89.96,89.65,89.34,89.02
74.5,75.24,75.99,74.3,72.62,70.14,67.66
81.6,81.71,81.82,81.85,81.88,82.34,82.81
31.2,31.76,32.31,32.24,32.16,33.22,34.28
36.55,38.18,39.8,41.52,43.23,49.91,56.59
69.4,69.73,70.07,69.78,69.5,70.43,71.36
67.3,66.72,66.13,62.64,59.15,60.76,62.38
60.3,57.07,53.84,50.13,46.42,46.78,47.14
41.32,40.3,39.29,46.9,54.5,57.84,61.17
37.7,37.76,37.82,36.43,35.05,37.91,40.77
46.8,47.93,49.06,46.14,43.23,43.6,43.98
70.04,67.55,65.07,61.11,57.15,57.76,58.37
34.77,32.97,31.17,27.94,24.71,19.07,13.43
58.01,59.28,60.55,58.85,57.15,56.87,56.59
78.61,77.33,76.06,72.78,69.5,67.94,66.39
12.35,12.6,12.86,15.3,17.73,20.26,22.79
48.04,49.32,50.59,45.29,39.99,39.74,39.5
27.95,31.52,35.08,34.64,34.19,34.24,34.28
49.51,49.08,48.65,48.1,47.56,48.62,49.68
49.86,53.5,57.15,57.15,57.15,59.16,61.17
82.87,84.82,86.76,88.75,90.74,89.38,88.03
94.11,94.62,95.13,95.35,95.57,96.1,96.63
70.01,70.06,70.11,69.8,69.5,71.92,74.35
55.14,51.22,47.31,44.56,41.8,42.12,42.43
64.98,65.09,65.2,69.62,74.05,74.84,75.62
40.94,42.52,44.09,46.58,49.06,47.42,45.77
7.13,6.34,5.54,5.33,5.13,5.12,5.12
57.15,56.45,55.75,50.39,45.02,50.12,55.22
34.54,33.75,32.95,34.0,35.05,35.39,35.74
35.66,49.64,63.61,50.54,37.47,39.95,42.43
78.83,77.94,77.05,73.28,69.5,74.02,78.55
75.1,75.9,76.7,74.66,72.62,71.24,69.86
58.96,58.93,58.9,59.02,59.15,62.77,66.39
26.71,28.4,30.09,31.13,32.16,29.31,26.45
91.66,92.01,92.36,92.66,92.96,93.17,93.38
22.6,21.82,21.04,25.98,30.91,32.6,34.28
81.53,81.38,81.22,81.14,81.06,84.78,88.51
22.57,22.3,22.03,20.7,19.36,18.08,16.8
8.82,9.75,10.67,10.46,10.25,8.64,7.03
98.85,98.94,99.04,99.06,99.08,99.18,99.27
96.82,97.01,97.2,97.15,97.1,97.22,97.33
36.96,30.29,23.62,21.49,19.36,18.08,16.8
10.19,10.0,9.81,9.56,9.3,9.44,9.58
6.78,13.11,19.45,18.59,17.73,17.73,17.73
47.44,48.68,49.92,50.72,51.51,53.36,55.22
83.44,80.28,77.11,73.3,69.5,65.33,61.17
39.19,39.29,39.38,41.3,43.23,38.76,34.28
3.69,8.34,12.99,21.33,29.67,31.98,34.28
24.2,32.71,41.23,38.76,36.29,34.72,33.16
6.18,4.12,2.07,2.24,2.42,1.78,1.15
78.92,81.61,84.3,76.28,68.26,79.4,90.55
13.5,18.61,23.72,24.61,25.5,29.89,34.28
51.16,49.79,48.42,48.74,49.06,47.42,45.77
23.53,24.47,25.41,25.06,24.71,23.75,22.79
54.35,40.42,26.49,29.33,32.16,43.69,55.22
98.38,98.28,98.19,98.24,98.28,98.15,98.03
7.07,8.28,9.49,8.57,7.64,7.78,7.92
5.38,7.44,9.49,7.77,6.05,6.72,7.38
90.45,91.36,92.26,93.12,93.98,94.46,94.94
40.05,35.2,30.34,30.63,30.91,32.6,34.28
14.14,8.6,3.06,5.76,8.47,21.38,34.28
75.42,76.58,77.75,75.9,74.05,71.4,68.75
39.76,39.7,39.64,39.82,39.99,40.38,40.77
11.46,11.78,12.1,26.04,39.99,46.84,53.69
8.85,8.42,7.99,8.64,9.3,10.79,12.29
13.47,19.87,26.27,24.9,23.53,27.7,31.86
5.25,3.77,2.29,2.2,2.1,2.53,2.96
30.66,33.96,37.25,29.44,21.62,16.96,12.29
5.44,6.42,7.39,7.93,8.47,12.26,16.04
13.88,14.39,14.9,14.64,14.39,14.22,14.04
29.1,36.18,43.27,37.71,32.16,24.94,17.73
11.24,11.91,12.58,11.94,11.3,9.61,7.92
9.01,6.58,4.14,12.52,20.89,16.27,11.65
45.34,45.1,44.86,55.34,65.81,66.74,67.66
76.31,77.46,78.61,81.36,84.11,80.36,76.61
12.77,7.8,2.83,2.46,2.1,2.44,2.77
1.97,1.52,1.08,1.14,1.21,1.06,0.92
11.65,44.27,76.89,71.35,65.81,64.7,63.59
26.07,24.36,22.64,21.0,19.36,18.08,16.8
54.95,66.22,77.49,76.39,75.29,81.66,88.03
98.15,98.34,98.54,98.72,98.89,99.06,99.24
95.61,96.02,96.43,96.59,96.75,95.59,94.43
11.97,10.81,9.65,8.76,7.86,8.21,8.56
30.31,34.18,38.05,35.66,33.27,34.5,35.74
23.18,21.1,19.01,21.27,23.53,25.85,28.17
30.15,31.82,33.49,37.64,41.8,40.65,39.5
85.8,73.6,61.41,46.78,32.16,32.01,31.86
59.89,63.04,66.19,67.22,68.26,73.84,79.41
14.77,13.9,13.02,15.78,18.53,17.66,16.8
1.72,8.22,14.71,17.04,19.36,9.84,0.32
46.93,49.11,51.29,47.26,43.23,50.8,58.37
5.54,32.81,60.08,68.34,76.6,53.87,31.13
34.07,38.36,42.66,69.18,95.7,90.83,85.96
61.64,62.82,63.99,65.55,67.11,67.39,67.66
61.86,64.33,66.79,69.01,71.22,72.79,74.35
58.17,58.25,58.33,63.3,68.26,69.81,71.36
98.69,98.39,98.09,94.42,90.74,90.29,89.85
30.05,45.68,61.32,53.87,46.42,64.61,82.81
81.31,80.78,80.26,61.74,43.23,29.02,14.8
54.25,56.27,58.29,61.18,64.06,66.4,68.75
81.25,83.12,85.0,85.43,85.86,84.74,83.61
51.1,59.4,67.69,58.38,49.06,29.0,8.94
44.29,35.53,26.77,24.2,21.62,26.74,31.86
59.03,60.3,61.57,62.82,64.06,65.86,67.66
33.72,39.61,45.5,47.95,50.4,51.3,52.2
62.75,65.31,67.88,67.49,67.11,66.0,64.89
77.46,76.92,76.38,76.89,77.4,75.88,74.35
77.65,78.66,79.66,81.88,84.11,85.34,86.57
77.11,80.4,83.7,61.16,38.62,49.18,59.74
21.2,25.36,29.51,34.06,38.62,52.5,66.39
68.26,68.8,69.34,70.98,72.62,67.5,62.38
70.71,71.73,72.75,75.08,77.4,77.54,77.69
95.38,96.18,96.98,97.04,97.1,97.24,97.39
72.52,74.62,76.73,78.0,79.27,79.34,79.41
54.5,58.31,62.11,63.96,65.81,70.08,74.35
96.63,96.39,96.15,96.14,96.12,96.26,96.4
5.79,6.97,8.15,8.55,8.95,10.12,11.3
93.95,93.78,93.6,93.79,93.98,94.08,94.18
50.88,32.61,14.33,19.92,25.5,21.62,17.73
81.73,82.41,83.09,83.6,84.11,85.04,85.96
62.27,62.4,62.53,66.88,71.22,74.46,77.69
86.21,86.85,87.49,87.68,87.87,87.95,88.03
25.41,23.21,21.01,56.51,92.01,84.31,76.61
36.45,32.25,28.05,25.3,22.54,23.5,24.47
19.99,16.79,13.59,13.51,13.44,13.44,13.43
22.51,24.21,25.92,23.4,20.89,21.84,22.79
57.56,56.35,55.14,51.35,47.56,49.18,50.8
