2014 Dispensing Data and Encoding,2015 Dispensing Data and Encoding,2016 Dispensing Data and Encoding,2017 Dispensing Data and Encoding,2018 Dispensing Data and Encoding,2019 Dispensing Data and Encoding,2020 Dispensing Data and Encoding
30.2,29.2,26.0,27.3,26.1,31.9,25.4
93.3,91.7,79.9,73.3,62.3,63.6,62.3
76.9,69.3,62.0,47.2,40.0,38.8,37.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.3,41.6,35.9,29.1,20.3,19.5,16.7
3.5,3.5,1.3,0.5,0.0,24.1,63.3
73.1,66.1,59.9,51.5,45.9,32.0,28.2
121.5,115.6,107.7,89.9,74.9,23.3,15.2
0.0,0.0,0.0,0.0,0.0,4.3,4.4
69.8,63.0,58.0,49.4,40.6,22.9,22.3
80.6,77.7,71.1,60.6,47.0,39.6,31.3
50.7,48.2,43.4,37.7,33.8,37.4,33.7
66.5,62.7,56.0,49.4,43.3,43.6,39.0
71.1,66.9,60.6,52.9,47.0,24.2,22.8
73.5,70.5,63.3,55.6,49.6,32.2,26.2
75.4,70.6,63.1,54.7,48.6,51.3,48.9
79.6,74.9,66.4,55.8,48.5,38.5,35.4
54.5,52.3,48.4,42.2,37.8,19.6,17.8
82.4,78.1,71.6,61.6,54.4,31.4,28.4
94.4,84.4,75.9,64.0,58.6,38.8,29.7
81.2,78.3,74.7,65.3,57.5,53.5,46.8
113.8,100.1,93.1,80.3,69.8,56.8,53.3
40.1,35.7,32.5,28.4,25.0,39.9,32.6
71.6,69.3,69.1,65.4,57.8,100.2,94.2
142.0,116.9,112.2,105.7,89.0,16.3,13.0
128.4,121.5,121.2,113.4,97.5,84.2,69.2
100.8,92.9,93.8,84.8,70.4,22.1,22.2
97.0,93.0,92.1,84.7,74.2,56.5,53.5
54.7,52.0,51.3,46.1,39.0,35.0,32.7
79.7,75.2,71.2,67.5,65.8,32.6,31.3
82.0,77.8,79.8,75.1,66.5,64.7,61.8
107.2,104.0,104.9,103.2,89.9,52.9,51.0
94.0,88.5,87.3,80.5,69.9,58.8,47.2
62.0,58.5,58.2,51.7,45.4,39.1,38.3
125.4,119.5,118.8,111.6,94.9,47.9,37.8
58.0,54.5,57.4,56.3,47.0,11.2,8.5
41.3,48.0,45.5,42.6,39.1,10.1,9.9
95.1,88.6,88.6,83.0,70.9,78.3,76.5
126.2,116.4,113.0,103.0,89.4,85.4,81.9
80.9,77.6,80.3,74.9,66.2,30.4,29.4
109.5,93.6,80.0,70.0,55.6,29.2,22.6
63.0,58.4,58.8,53.2,46.0,8.5,8.5
45.5,46.8,43.7,42.9,37.1,7.2,6.7
7.6,4.9,5.0,3.7,3.8,0.0,0.0
128.0,136.5,103.9,90.8,81.2,47.2,49.0
44.2,37.0,36.6,30.0,33.8,6.4,5.8
45.9,42.1,38.7,34.4,31.5,5.6,5.1
75.1,68.9,70.9,64.0,56.0,10.7,11.3
