FIPS,2014 EPL_NOHSDP,2015 EPL_NOHSDP,2016 EPL_NOHSDP,2017 EPL_NOHSDP,2018 EPL_NOHSDP,2019 EPL_NOHSDP,2020 EPL_NOHSDP
06017,9.11,10.44,11.78,11.72,11.65,10.63,9.61
06019,94.27,94.89,95.51,95.12,94.72,94.58,94.43
06021,91.05,93.76,96.47,95.6,94.72,95.86,97.01
06023,23.27,25.5,27.73,29.91,32.09,33.93,35.77
06025,99.08,99.0,98.92,98.84,98.76,98.73,98.7
06027,38.05,39.48,40.91,42.1,43.3,39.89,36.47
06029,94.52,95.14,95.77,96.02,96.28,96.28,96.28
06031,96.5,96.29,96.08,96.24,96.4,96.86,97.33
06033,57.62,62.2,66.79,65.76,64.72,65.08,65.44
06035,79.21,77.48,75.74,75.32,74.91,81.34,87.78
06037,87.36,87.66,87.97,88.2,88.44,88.96,89.47
06039,97.48,97.29,97.1,97.32,97.55,97.9,98.25
06041,9.55,9.4,9.26,10.12,10.98,11.58,12.19
06043,32.25,33.11,33.97,32.56,31.14,32.5,33.86
06045,52.31,53.02,53.74,54.63,55.52,59.19,62.86
06047,98.25,98.34,98.44,98.46,98.47,98.68,98.89
06049,48.55,51.5,54.44,58.42,62.4,67.58,72.76
06051,60.24,62.82,65.39,54.68,43.97,49.08,54.2
06053,96.31,96.94,97.58,97.69,97.8,97.77,97.74
06055,66.67,66.24,65.81,65.49,65.17,67.11,69.06
06057,3.06,5.7,8.34,7.22,6.11,6.35,6.59
06059,61.48,62.26,63.04,64.1,65.17,65.89,66.61
06061,3.88,4.42,4.97,4.94,4.9,4.81,4.71
06063,26.55,21.26,15.98,11.76,7.55,6.83,6.11
06065,77.94,78.18,78.41,78.46,78.51,79.39,80.27
06067,51.26,51.88,52.5,52.6,52.69,54.47,56.24
06069,83.6,84.84,86.09,85.6,85.1,84.1,83.1
06071,82.49,83.57,84.65,85.51,86.37,86.76,87.14
06073,52.53,53.49,54.44,54.41,54.38,54.99,55.6
06075,48.23,48.57,48.9,47.26,45.62,48.76,51.91
06077,84.75,85.96,87.17,87.58,88.0,88.34,88.67
06079,27.86,28.54,29.23,28.34,27.44,27.15,26.86
06081,36.33,38.27,40.21,40.54,40.88,39.24,37.59
06083,79.59,79.91,80.23,80.68,81.12,82.29,83.45
06085,47.53,49.1,50.68,49.6,48.52,49.66,50.8
06087,54.25,54.57,54.89,56.59,58.29,55.88,53.47
06089,34.64,32.32,29.99,29.26,28.53,30.26,31.99
06091,24.67,31.08,37.5,24.0,10.51,15.71,20.91
06093,33.81,37.01,40.21,37.49,34.77,38.04,41.31
06095,42.5,45.35,48.2,48.72,49.25,50.02,50.8
06097,47.53,48.78,50.02,49.64,49.25,48.46,47.68
06099,86.09,87.14,88.19,88.84,89.49,89.48,89.47
06101,82.23,82.71,83.19,86.76,90.32,89.9,89.47
06103,69.47,69.98,70.49,69.52,68.55,67.88,67.22
06105,20.53,22.65,24.77,27.2,29.64,23.24,16.84
06107,98.25,98.4,98.54,98.46,98.38,98.33,98.28
06109,27.86,29.74,31.61,31.37,31.14,31.98,32.81
06111,65.71,67.0,68.29,68.42,68.55,68.5,68.46
06113,56.83,57.72,58.61,58.45,58.29,58.42,58.56
06115,78.48,75.89,73.29,75.47,77.65,79.94,82.24
08001,70.96,72.12,73.29,73.76,74.24,73.5,72.76
08003,58.87,62.61,66.35,62.04,57.72,59.06,60.41
08005,13.44,13.5,13.56,15.18,16.81,19.74,22.66
08007,10.54,15.26,19.99,19.85,19.71,14.36,9.01
08009,54.25,54.57,54.89,60.74,66.6,66.6,66.61
08011,82.23,73.27,64.31,62.8,61.29,57.12,52.96
08013,3.88,3.82,3.76,3.55,3.34,3.24,3.15
08014,2.01,1.38,0.76,0.64,0.51,0.6,0.7
08015,21.87,19.68,17.48,15.16,12.83,10.92,9.01
08017,38.05,31.79,25.53,29.68,33.84,19.97,6.11
08019,0.57,0.44,0.32,0.24,0.16,0.29,0.41
08021,61.48,63.43,65.39,61.27,57.15,57.22,57.29
08023,90.67,90.28,89.88,89.38,88.89,80.58,72.28
08025,90.67,80.76,70.84,68.72,66.6,62.89,59.17
08027,1.18,9.33,17.48,14.86,12.23,6.65,1.08
08029,39.48,42.08,44.67,37.9,31.14,36.84,42.55
08031,53.87,54.16,54.44,54.41,54.38,51.03,47.68
08033,38.05,30.8,23.56,22.26,20.95,12.05,3.15
08035,0.1,0.1,0.1,0.14,0.19,0.18,0.16
08037,25.82,32.51,39.19,39.58,39.96,36.91,33.86
08039,0.73,0.62,0.51,0.57,0.64,0.86,1.08
08041,5.64,5.7,5.76,7.05,8.34,7.74,7.13
08043,60.24,49.98,39.73,35.91,32.09,39.25,46.4
08045,55.43,53.66,51.89,51.23,50.56,49.58,48.6
08047,2.45,1.24,0.03,0.16,0.29,4.14,7.99
08049,1.75,1.45,1.15,1.64,2.13,3.64,5.16
08051,2.67,2.36,2.04,1.2,0.35,0.36,0.38
08053,1.88,2.26,2.64,5.32,7.99,5.03,2.07
08055,55.43,38.04,20.66,21.86,23.05,21.12,19.19
08057,59.28,52.72,46.16,49.0,51.83,53.02,54.2
08059,4.3,4.64,4.97,5.22,5.48,5.59,5.7
08061,17.54,13.9,10.25,5.88,1.5,0.98,0.45
08063,64.92,66.3,67.69,56.66,45.62,43.46,41.31
08065,9.11,9.87,10.63,36.9,63.16,56.98,50.8
08067,3.06,2.99,2.93,3.25,3.57,2.73,1.88
08069,1.56,1.36,1.15,1.42,1.69,1.58,1.46
08071,53.07,55.2,57.34,53.95,50.56,43.52,36.47
08073,76.95,68.54,60.14,46.12,32.09,36.3,40.52
08075,41.83,38.49,35.15,36.92,38.68,37.58,36.47
08077,27.22,29.42,31.61,32.72,33.84,35.16,36.47
08079,0.29,0.34,0.38,0.44,0.51,0.34,0.16
08081,31.65,26.87,22.09,24.76,27.44,34.38,41.31
08083,24.67,26.52,28.37,33.52,38.68,37.58,36.47
08085,46.9,43.04,39.19,41.24,43.3,46.3,49.3
08087,79.82,78.33,76.85,80.61,84.37,87.41,90.45
08089,67.97,62.65,57.34,60.58,63.83,55.76,47.68
08091,0.03,0.1,0.16,0.13,0.1,0.08,0.06
08093,0.73,0.65,0.57,0.51,0.45,0.37,0.29
08095,62.62,49.7,36.77,42.16,47.56,52.42,57.29
08097,2.01,1.83,1.66,1.28,0.89,0.99,1.08
08099,76.19,73.98,71.76,74.6,77.43,82.28,87.14
08101,40.62,41.94,43.27,41.31,39.35,38.9,38.45
08103,17.54,17.2,16.87,15.17,13.47,19.83,26.19
08105,62.62,65.46,68.29,68.56,68.83,63.46,58.08
08107,0.29,0.37,0.45,0.48,0.51,2.1,3.69
08109,82.04,79.78,77.52,80.52,83.51,75.49,67.47
08111,2.87,2.26,1.66,7.24,12.83,7.66,2.48
08113,1.34,5.12,8.91,6.24,3.57,2.1,0.64
08115,40.08,30.76,21.43,27.64,33.84,39.71,45.58
08117,2.45,2.85,3.25,6.88,10.51,12.91,15.31
08119,7.23,5.75,4.27,2.98,1.69,1.3,0.92
08121,21.87,21.26,20.66,18.4,16.14,19.74,23.33
08123,49.44,50.36,51.29,49.9,48.52,53.84,59.17
08125,33.21,41.94,50.68,49.6,48.52,56.58,64.64
09001,30.79,30.82,30.85,33.22,35.59,37.35,39.12
09003,35.53,35.34,35.15,36.92,38.68,39.6,40.52
09005,16.75,17.12,17.48,16.35,15.22,13.02,10.82
09007,4.3,5.24,6.18,6.14,6.11,6.11,6.11
09009,33.21,33.59,33.97,33.9,33.84,36.14,38.45
09011,19.36,18.92,18.47,19.45,20.44,19.42,18.4
09013,6.88,6.53,6.18,5.54,4.9,5.3,5.7
09015,39.48,41.76,44.03,44.38,44.73,46.2,47.68
10001,51.93,51.91,51.89,53.14,54.38,54.99,55.6
10003,26.55,26.47,26.39,24.72,23.05,23.76,24.47
10005,55.43,55.44,55.46,53.3,51.13,49.86,48.6
11001,33.21,31.6,29.99,29.82,29.64,27.92,26.19
12001,13.44,12.91,12.38,14.6,16.81,17.6,18.4
12003,75.8,74.78,73.77,70.9,68.04,69.94,71.83
12005,41.83,40.78,39.73,35.91,32.09,32.98,33.86
12007,89.08,89.83,90.58,90.04,89.49,90.56,91.63
12009,21.87,21.65,21.43,20.57,19.71,21.52,23.33
12011,40.08,41.32,42.57,42.94,43.3,44.44,45.58
12013,94.14,92.16,90.19,90.16,90.13,91.9,93.67
12015,31.65,33.02,34.38,33.24,32.09,33.31,34.53
12017,47.53,50.22,52.91,50.72,48.52,46.74,44.97
12019,25.21,24.68,24.16,25.12,26.07,25.27,24.47
12021,53.07,55.53,57.98,58.14,58.29,56.24,54.2
12023,59.85,57.66,55.46,56.04,56.61,63.9,71.2
12027,96.72,97.2,97.68,97.46,97.23,97.16,97.1
12029,80.13,83.88,87.62,87.24,86.85,88.4,89.94
12031,36.71,37.49,38.27,38.48,38.68,39.31,39.94
12033,36.33,33.59,30.85,29.69,28.53,33.06,37.59
12035,26.55,24.32,22.09,20.9,19.71,24.5,29.28
12037,82.23,82.12,82.01,82.9,83.79,84.74,85.68
12039,86.79,85.72,84.65,85.75,86.85,85.78,84.72
12041,74.88,73.11,71.35,66.06,60.78,62.08,63.37
12043,89.4,92.17,94.94,94.64,94.33,96.3,98.28
12045,78.48,75.34,72.21,69.18,66.16,67.84,69.51
12047,88.67,91.32,93.98,93.71,93.44,94.9,96.37
12049,99.04,98.68,98.31,96.16,94.01,94.76,95.51
12051,98.95,99.25,99.55,99.5,99.46,99.27,99.08
12053,48.55,49.92,51.29,51.99,52.69,52.82,52.96
12055,71.54,70.18,68.83,67.99,67.14,68.48,69.83
12057,45.46,45.81,46.16,46.22,46.29,47.8,49.3
12059,90.19,88.14,86.09,88.8,91.5,89.92,88.35
12061,44.95,46.2,47.44,45.7,43.97,41.96,39.94
12063,81.22,83.46,85.71,84.13,82.55,82.4,82.24
12065,76.95,79.13,81.31,79.37,77.43,79.18,80.94
12067,90.35,92.32,94.3,93.87,93.44,95.56,97.68
12069,46.9,46.53,46.16,43.06,39.96,40.24,40.52
12071,46.9,49.1,51.29,50.27,49.25,47.82,46.4
12073,11.78,11.78,11.78,10.38,8.98,11.36,13.75
12075,74.53,74.42,74.31,71.57,68.83,67.14,65.44
12077,91.66,87.63,83.6,81.63,79.66,84.8,89.94
12079,79.21,75.28,71.35,76.95,82.55,85.88,89.21
12081,41.1,41.0,40.91,40.9,40.88,43.23,45.58
12083,55.43,54.94,54.44,53.92,53.39,54.5,55.6
12085,32.25,31.12,29.99,30.34,30.69,30.38,30.08
12086,78.89,78.51,78.13,78.68,79.24,81.34,83.45
12087,22.64,22.75,22.86,23.49,24.13,25.16,26.19
12089,28.94,26.25,23.56,23.59,23.62,27.81,31.99
12091,18.78,19.72,20.66,20.8,20.95,20.48,20.02
12093,97.84,97.43,97.01,96.06,95.1,92.28,89.47
12095,44.29,45.46,46.64,46.13,45.62,48.21,50.8
12097,60.87,59.42,57.98,57.04,56.1,61.06,66.01
12099,41.1,43.25,45.4,46.48,47.56,48.76,49.97
12101,42.5,42.54,42.57,42.44,42.31,41.81,41.31
12103,29.7,28.3,26.9,26.49,26.07,27.35,28.64
12105,65.3,65.35,65.39,66.0,66.6,68.05,69.51
12107,85.8,85.76,85.71,83.68,81.66,81.3,80.94
12109,4.3,3.78,3.25,4.08,4.9,5.3,5.7
12111,53.87,55.6,57.34,58.56,59.79,59.83,59.87
12113,23.97,26.17,28.37,25.35,22.32,25.8,29.28
12115,11.08,11.43,11.78,12.62,13.47,14.39,15.31
12117,11.08,9.46,7.83,6.81,5.79,6.66,7.54
12119,34.64,30.52,26.39,24.36,22.32,22.82,23.33
12121,82.23,82.92,83.6,81.42,79.24,80.32,81.41
12123,92.49,88.72,84.94,88.22,91.5,88.59,85.68
12125,91.95,93.44,94.94,93.76,92.58,94.0,95.42
12127,38.87,37.01,35.15,34.96,34.77,34.65,34.53
12129,42.5,44.57,46.64,48.26,49.89,53.07,56.24
12131,57.62,59.44,61.25,53.44,45.62,46.01,46.4
12133,75.8,78.55,81.31,80.85,80.39,81.41,82.43
13001,90.35,90.84,91.34,93.5,95.67,95.08,94.49
13003,98.6,98.63,98.66,98.65,98.63,99.02,99.4
13005,93.0,86.62,80.23,79.74,79.24,80.52,81.8
13007,78.48,81.56,84.65,87.07,89.49,84.04,78.58
13009,67.97,71.4,74.82,71.68,68.55,66.24,63.94
13011,84.75,88.97,93.19,92.64,92.1,94.3,96.5
13013,68.61,71.33,74.05,74.14,74.24,69.09,63.94
13015,72.68,73.98,75.29,74.76,74.24,69.84,65.44
13017,81.5,78.84,76.19,75.74,75.29,76.17,77.05
13019,79.21,79.28,79.34,84.74,90.13,90.04,89.94
13021,67.14,65.52,63.9,62.9,61.89,63.26,64.64
13023,71.31,65.72,60.14,55.98,51.83,47.96,44.08
13025,86.41,83.19,79.97,82.36,84.75,86.26,87.78
13027,86.09,85.06,84.02,79.46,74.91,75.33,75.75
13029,30.79,28.84,26.9,23.67,20.44,19.42,18.4
13031,50.62,52.0,53.39,54.46,55.52,54.86,54.2
13033,86.09,87.56,89.02,88.08,87.14,85.93,84.72
13035,91.05,90.27,89.49,88.32,87.14,87.9,88.67
13037,98.09,95.1,92.1,93.95,95.8,95.94,96.09
13039,18.31,20.58,22.86,21.9,20.95,23.9,26.86
13043,87.77,90.59,93.41,93.17,92.93,92.7,92.46
13045,76.95,76.7,76.44,73.96,71.47,71.33,71.2
13047,64.28,61.44,58.61,55.65,52.69,51.0,49.3
13049,90.35,83.78,77.2,86.98,96.75,92.62,88.48
13051,34.64,34.89,35.15,36.53,37.92,38.93,39.94
