FIPS,2014 RPL_THEMES,2015 RPL_THEMES,2016 RPL_THEMES,2017 RPL_THEMES,2018 RPL_THEMES,2019 RPL_THEMES,2020 RPL_THEMES
05107,97.55,97.71,97.87,95.13,92.39,91.28,90.17
05109,81.63,75.87,70.11,70.68,71.24,63.38,55.51
05111,86.31,83.97,81.63,82.16,82.68,78.29,73.9
05113,77.84,82.18,86.53,88.01,89.49,87.25,85.01
05115,71.47,72.8,74.12,76.74,79.36,77.72,76.07
05117,63.2,66.42,69.63,67.56,65.48,56.1,46.72
05119,52.09,54.65,57.21,60.04,62.87,69.61,76.35
05121,55.4,58.26,61.13,66.4,71.66,68.48,65.31
05123,98.89,98.3,97.71,97.31,96.91,97.63,98.35
05125,31.33,31.7,32.06,32.66,33.25,31.36,29.47
05127,85.99,89.19,92.39,90.56,88.73,87.03,85.33
05129,54.44,48.48,42.53,43.14,43.76,38.19,32.62
05131,75.14,77.28,79.43,81.36,83.28,84.2,85.11
05133,89.11,85.8,82.49,79.62,76.75,77.48,78.2
05135,73.73,69.78,65.84,63.87,61.91,60.11,58.31
05137,56.13,55.46,54.79,52.9,51.02,60.26,69.51
05139,85.93,85.62,85.32,82.93,80.54,75.32,70.11
05141,81.66,74.66,67.65,69.96,72.26,74.07,75.88
05143,73.61,69.13,64.66,66.05,67.45,72.98,78.52
05145,69.47,70.76,72.05,73.26,74.46,77.73,81.0
05147,92.65,92.79,92.93,88.92,84.9,79.67,74.44
05149,87.55,87.95,88.35,88.09,87.83,80.64,73.46
06001,55.65,53.64,51.64,49.32,47.01,49.26,51.5
06003,45.08,53.68,62.27,67.57,72.87,61.64,50.41
06005,44.06,47.26,50.46,51.9,53.34,56.38,59.42
06007,79.24,79.19,79.15,79.9,80.64,81.79,82.94
06009,22.6,24.51,26.42,24.96,23.5,27.95,32.4
06011,85.04,79.66,74.28,74.32,74.36,75.39,76.42
06013,40.75,40.76,40.78,40.67,40.57,43.96,47.36
06015,97.71,97.52,97.33,97.23,97.13,95.88,94.62
06017,17.8,19.44,21.08,19.73,18.38,20.52,22.66
06019,96.53,96.6,96.66,96.38,96.11,96.1,96.09
06021,93.09,94.28,95.48,92.22,88.95,88.74,88.54
06023,70.04,71.74,73.45,74.75,76.05,79.41,82.78
06025,99.68,99.66,99.65,99.72,99.78,99.62,99.46
06027,70.33,67.66,64.98,61.0,57.01,54.97,52.93
06029,95.86,95.91,95.96,96.28,96.59,96.76,96.94
06031,96.98,97.2,97.42,97.24,97.07,95.83,94.59
06033,90.96,92.62,94.27,93.02,91.78,90.64,89.5
06035,83.16,78.83,74.5,67.24,59.97,61.75,63.53
06037,79.97,79.4,78.83,77.82,76.82,81.33,85.84
06039,94.08,94.34,94.59,95.0,95.41,94.44,93.48
06041,28.33,27.28,26.23,26.62,27.01,30.08,33.16
06043,45.21,49.2,53.2,53.07,52.93,67.96,83.0
06045,87.52,87.88,88.25,88.22,88.18,91.9,95.61
06047,98.03,98.04,98.06,97.62,97.17,97.08,96.98
06049,69.72,63.5,57.27,66.22,75.16,76.16,77.15
06051,35.94,32.24,28.53,21.31,14.08,28.15,42.23
06053,83.38,82.48,81.57,80.74,79.9,82.2,84.5
06055,55.27,52.88,50.49,50.5,50.51,56.3,62.09
06057,19.39,20.68,21.97,21.21,20.45,21.04,21.64
06059,45.78,45.02,44.25,43.08,41.91,49.06,56.21
06061,20.66,19.5,18.34,16.76,15.19,16.5,17.82
06063,46.7,42.88,39.06,32.79,26.53,33.12,39.72
06065,82.3,82.22,82.14,80.76,79.39,81.18,82.97
06067,79.43,78.7,77.97,75.68,73.38,75.06,76.73
06069,58.04,57.4,56.77,54.61,52.45,54.92,57.38
06071,90.13,90.59,91.05,90.58,90.1,90.34,90.58
06073,58.8,58.02,57.24,56.6,55.96,62.92,69.89
06075,41.9,41.39,40.88,40.0,39.11,41.16,43.22
06077,91.15,90.8,90.45,89.68,88.92,88.78,88.64
06079,39.26,38.48,37.7,37.54,37.39,41.02,44.65
06081,28.4,27.88,27.35,26.92,26.5,26.44,26.38
06083,73.64,72.62,71.6,71.35,71.11,77.38,83.64
06085,40.05,39.29,38.52,37.04,35.57,36.36,37.14
06087,49.44,50.46,51.48,52.89,54.3,57.84,61.39
06089,72.97,70.52,68.07,69.14,70.22,72.36,74.51
06091,13.85,11.59,9.33,6.92,4.52,16.31,28.1
06093,82.27,81.82,81.38,76.81,72.23,73.58,74.92
06095,65.46,65.28,65.11,62.11,59.11,61.11,63.11
06097,46.0,44.42,42.85,41.6,40.35,45.56,50.76
06099,89.08,88.7,88.32,87.54,86.75,85.86,84.98
06101,82.94,84.64,86.34,87.28,88.22,87.2,86.19
06103,90.77,92.84,94.91,95.58,96.24,94.56,92.87
06105,54.86,63.98,73.1,73.6,74.11,80.12,86.12
06107,93.63,93.7,93.76,93.96,94.17,93.8,93.44
06109,56.42,56.61,56.8,51.84,46.88,53.24,59.61
06111,51.26,50.94,50.62,49.45,48.28,54.5,60.73
06113,68.13,67.84,67.56,67.62,67.68,70.38,73.07
06115,96.66,95.9,95.13,94.66,94.2,92.84,91.47
08001,67.59,65.46,63.32,61.12,58.92,63.93,68.94
08003,94.05,96.2,98.34,96.43,94.52,96.29,98.06
08005,33.17,31.86,30.56,28.59,26.62,33.97,41.31
08007,23.18,24.44,25.69,25.7,25.7,27.03,28.36
08009,38.24,45.69,53.14,57.0,60.86,58.04,55.22
08011,79.08,80.99,82.9,86.36,89.81,85.5,81.19
08013,18.75,17.88,17.0,17.02,17.04,19.12,21.2
08014,7.77,6.65,5.54,5.22,4.9,5.9,6.91
08015,22.64,19.35,16.05,19.97,23.89,42.96,62.03
08017,16.36,19.52,22.67,24.28,25.89,15.98,6.08
08019,1.08,1.14,1.21,1.59,1.97,7.89,13.81
08021,86.21,87.39,88.57,90.91,93.25,91.2,89.15
08023,84.91,85.32,85.74,89.76,93.79,92.71,91.63
08025,87.97,89.38,90.8,90.05,89.3,85.85,82.4
08027,17.7,25.12,32.54,28.44,24.33,14.95,5.57
