FIPS,2014 EPL_POV,2015 EPL_POV,2016 EPL_POV,2017 EPL_POV,2018 EPL_POV,2019 EPL_POV,2020 EPL_POV
08023,89.37,92.95,96.53,96.83,97.13,97.34,97.55
08025,94.68,96.48,98.28,97.15,96.02,91.62,87.21
08027,59.79,62.0,64.22,58.91,53.6,34.26,14.93
08029,50.53,53.98,57.43,63.02,68.6,71.76,74.92
08031,63.8,59.23,54.66,48.73,42.8,36.07,29.34
08033,73.77,72.91,72.05,56.87,41.69,22.53,3.37
08035,0.13,0.14,0.16,0.14,0.13,0.13,0.13
08037,12.93,9.83,6.72,5.85,4.97,8.9,12.83
08039,4.08,2.41,0.73,0.59,0.45,1.91,3.37
08041,26.58,24.64,22.7,23.48,24.27,22.0,19.73
08043,59.15,57.64,56.13,54.87,53.6,50.67,47.74
08045,22.0,21.64,21.27,14.82,8.38,9.87,11.36
08047,14.29,9.15,4.01,2.18,0.35,0.92,1.5
08049,24.67,21.4,18.12,22.36,26.59,19.36,12.13
08051,59.79,53.95,48.11,43.6,39.08,34.6,30.11
08053,4.46,13.18,21.9,29.8,37.71,31.94,26.16
08055,72.21,65.73,59.25,58.78,58.31,47.68,37.05
08057,40.69,39.37,38.05,47.04,56.02,40.56,25.11
08059,7.67,7.2,6.72,6.42,6.11,4.85,3.6
08061,40.69,29.7,18.72,22.66,26.59,50.0,73.42
08063,45.85,43.14,40.43,29.96,19.49,35.73,51.97
08065,25.25,24.5,23.75,42.84,61.94,44.05,26.16
08067,18.18,18.45,18.72,15.19,11.66,16.73,21.8
08069,34.51,34.36,34.22,32.75,31.27,24.06,16.84
08071,51.19,46.06,40.94,56.12,71.31,73.8,76.29
08073,51.19,54.87,58.55,49.54,40.54,45.59,50.64
08075,54.98,54.42,53.87,52.57,51.27,56.74,62.22
08077,47.76,50.82,53.87,54.94,56.02,50.18,44.33
08079,2.96,5.06,7.16,19.22,31.27,26.02,20.78
08081,21.43,21.35,21.27,32.36,43.44,51.85,60.25
08083,64.31,66.57,68.83,63.86,58.89,53.54,48.19
08085,57.12,60.96,64.79,64.09,63.38,49.2,35.01
08087,25.63,22.18,18.72,18.63,18.54,30.96,43.38
08089,90.83,88.46,86.09,88.74,91.4,91.68,91.95
08091,4.23,7.45,10.67,14.4,18.12,13.0,7.89
08093,6.43,4.61,2.8,2.38,1.97,5.34,8.72
08095,65.71,45.74,25.76,14.95,4.14,27.12,50.1
08097,8.15,8.23,8.31,6.99,5.67,3.14,0.6
08099,79.97,78.68,77.4,75.96,74.52,73.7,72.88
08101,69.63,72.81,75.99,75.26,74.52,71.22,67.92
08103,54.25,41.47,28.69,28.36,28.03,36.77,45.51
08105,73.77,72.62,71.47,68.65,65.83,64.71,63.59
08107,14.93,15.28,15.63,19.37,23.12,15.92,8.72
08109,89.59,87.14,84.69,76.92,69.14,75.07,81.0
08111,52.56,26.36,0.16,0.42,0.67,32.13,63.59
08113,14.93,20.34,25.76,19.18,12.61,19.92,27.24
08115,46.55,45.08,43.62,54.28,64.94,67.46,69.99
08117,37.15,32.24,27.32,23.4,19.49,15.3,11.11
08119,3.79,4.46,5.13,7.24,9.36,11.1,12.83
08121,29.19,26.87,24.55,23.84,23.12,33.01,42.9
08123,33.24,31.63,30.02,26.2,22.39,22.1,21.8
08125,13.88,28.36,42.85,45.42,47.99,43.41,38.83
09001,9.14,9.17,9.2,10.65,12.1,10.87,9.64
09003,24.67,24.36,24.04,24.78,25.51,22.84,20.18
09005,2.96,3.24,3.53,4.25,4.97,4.68,4.39
09007,3.25,3.54,3.82,4.22,4.62,4.26,3.91
09009,27.67,29.64,31.61,31.11,30.61,26.81,23.01
09011,9.14,11.72,14.29,17.2,20.1,15.73,11.36
09013,2.64,3.02,3.41,4.01,4.62,5.42,6.21
09015,20.22,21.06,21.9,21.82,21.75,22.19,22.63
10001,29.19,31.7,34.22,37.96,41.69,41.36,41.02
10003,19.48,21.34,23.21,25.12,27.04,21.86,16.68
10005,31.68,32.06,32.44,30.94,29.43,27.51,25.59
11001,63.13,63.67,64.22,64.08,63.95,51.39,38.83
12001,90.16,89.22,88.28,86.37,84.46,80.49,76.51
12003,65.71,66.64,67.56,58.08,48.6,45.1,41.6
12005,41.29,45.38,49.47,49.42,49.36,44.6,39.85
12007,69.63,70.84,72.05,76.1,80.16,81.54,82.91
12009,36.68,37.87,39.06,37.4,35.73,32.75,29.76
12011,40.02,40.78,41.55,41.35,41.15,41.08,41.02
12013,82.65,58.14,33.62,33.04,32.45,53.94,75.43
12015,27.67,28.18,28.69,27.1,25.51,29.1,32.69
12017,57.82,60.36,62.91,63.15,63.38,58.66,53.95
12019,15.57,15.6,15.63,19.01,22.39,21.28,20.18
12021,38.78,36.5,34.22,33.66,33.09,29.62,26.16
12023,73.32,72.96,72.59,70.02,67.45,67.02,66.58
12027,96.53,96.34,96.15,96.1,96.05,96.28,96.5
12029,67.62,74.29,80.96,84.4,87.83,79.99,72.15
12031,58.29,57.21,56.13,55.42,54.71,52.68,50.64
12033,56.29,49.95,43.62,43.53,43.44,46.18,48.92
12035,52.09,43.16,34.22,32.42,30.61,32.41,34.21
12037,84.53,81.34,78.16,79.7,81.24,85.02,88.8
12039,93.06,92.2,91.34,91.26,91.18,87.46,83.74
12041,89.24,88.38,87.52,78.74,69.97,72.7,75.43
12043,87.93,83.04,78.16,71.55,64.94,71.92,78.9
12045,52.09,49.82,47.56,45.5,43.44,40.08,36.73
12047,94.91,94.19,93.47,95.14,96.82,95.2,93.57
12049,96.75,94.68,92.61,93.46,94.3,95.2,96.09
12051,92.68,92.6,92.52,93.48,94.43,94.92,95.42
12053,49.25,49.36,49.47,48.0,46.53,49.84,53.15
12055,69.12,70.86,72.59,74.02,75.45,73.52,71.58
12057,57.12,55.89,54.66,54.13,53.6,49.92,46.24
12059,92.3,92.07,91.85,92.31,92.77,91.58,90.39
12061,45.3,42.55,39.8,36.12,32.45,31.28,30.11
12063,78.26,81.95,85.64,83.22,80.8,78.11,75.43
12065,56.29,53.52,50.75,47.94,45.13,55.86,66.58
12067,85.93,75.36,64.79,72.0,79.2,86.08,92.97
12069,38.24,37.14,36.04,35.17,34.3,35.21,36.12
12071,49.25,48.92,48.58,46.44,44.3,39.03,33.77
12073,86.34,83.3,80.26,80.38,80.51,73.98,67.44
12075,87.14,85.14,83.13,82.18,81.24,81.58,81.92
12077,73.77,65.84,57.91,47.81,37.71,57.94,78.17
12079,81.6,88.43,95.26,95.53,95.8,95.98,96.15
12081,42.02,41.48,40.94,37.62,34.3,36.57,38.83
12083,63.8,64.92,66.03,64.31,62.58,63.31,64.04
12085,24.23,24.7,25.18,23.47,21.75,20.96,20.18
12086,75.61,75.2,74.79,72.62,70.45,69.64,68.84
12087,35.94,34.56,33.17,31.58,30.0,25.74,21.48
12089,27.09,28.87,30.66,25.38,20.1,14.87,9.64
12091,34.51,30.41,26.3,27.16,28.03,27.64,27.24
12093,94.33,92.6,90.86,88.88,86.91,80.46,74.0
12095,60.39,60.44,60.49,59.69,58.89,56.02,53.15
12097,63.8,68.37,72.94,66.63,60.32,58.54,56.75
12099,40.02,39.27,38.52,37.48,36.43,34.8,33.16
12101,38.24,37.44,36.64,38.9,41.15,40.86,40.58
12103,38.24,39.02,39.8,38.76,37.71,35.2,32.69
12105,65.01,63.96,62.91,62.74,62.58,62.86,63.14
12107,92.2,92.84,93.47,92.51,91.56,92.87,94.18
12109,11.75,10.82,9.9,9.93,9.97,7.74,5.51
12111,64.31,64.26,64.22,57.74,51.27,49.73,48.19
12113,25.25,26.74,28.24,22.83,17.42,19.1,20.78
12115,22.99,21.74,20.5,18.62,16.75,14.94,13.14
12117,21.43,24.38,27.32,27.18,27.04,21.94,16.84
12119,17.29,15.79,14.29,13.2,12.1,12.62,13.14
12121,87.36,86.08,84.81,77.2,69.59,63.17,56.75
12123,35.31,39.84,44.38,61.26,78.15,75.52,72.88
12125,68.13,76.04,83.95,84.49,85.03,78.96,72.88
12127,59.15,57.9,56.64,54.76,52.87,48.6,44.33
12129,32.35,36.65,40.94,34.48,28.03,22.86,17.7
12131,59.79,60.38,60.97,55.16,49.36,37.11,24.86
12133,70.9,73.96,77.01,81.64,86.27,89.73,93.19
13001,82.65,80.03,77.4,82.79,88.18,90.42,92.65
13003,96.18,95.21,94.24,95.64,97.04,97.58,98.12
13005,75.14,70.82,66.51,80.74,94.97,94.81,94.65
13007,83.09,66.62,50.14,66.6,83.06,88.78,94.49
13009,97.39,96.69,95.99,94.81,93.63,87.78,81.92
13011,51.19,49.89,48.58,44.56,40.54,51.12,61.71
13013,33.24,37.68,42.12,37.03,31.94,33.48,35.01
13015,51.19,47.78,44.38,41.73,39.08,41.44,43.79
13017,98.85,98.74,98.63,98.26,97.9,97.52,97.14
13019,89.88,90.61,91.34,92.55,93.76,91.28,88.8
13021,92.39,93.51,94.62,93.74,92.87,90.84,88.8
13023,90.99,88.42,85.86,83.7,81.53,81.1,80.68
13025,76.92,78.42,79.91,85.02,90.13,91.2,92.27
13027,94.11,91.85,89.59,92.15,94.71,93.9,93.09
13029,27.09,30.96,34.83,39.98,45.13,28.39,11.65
13031,98.06,97.6,97.13,96.66,96.18,90.44,84.69
13033,98.19,97.39,96.59,94.08,91.56,84.86,78.17
13035,60.39,68.7,77.01,83.17,89.33,84.59,79.85
13037,99.59,98.68,97.77,97.34,96.91,96.52,96.12
13039,31.14,35.1,39.06,38.21,37.36,46.16,54.96
13043,95.22,95.6,95.99,97.07,98.15,96.46,94.78
13045,72.62,72.33,72.05,73.0,73.95,67.1,60.25
13047,30.63,27.9,25.18,21.3,17.42,20.34,23.27
13049,61.67,69.54,77.4,84.16,90.92,92.39,93.86
13051,69.63,67.21,64.79,60.77,56.75,53.42,50.1
13053,8.88,24.91,40.94,52.44,63.95,77.25,90.55
13055,86.98,85.46,83.95,81.18,78.41,84.54,90.67
13057,14.29,14.52,14.74,11.56,8.38,7.56,6.75
13059,98.63,98.65,98.66,98.18,97.71,96.07,94.43
13061,99.87,99.7,99.52,99.58,99.65,98.88,98.12
13063,88.98,88.78,88.57,83.73,78.89,79.22,79.54
