FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH
06095,45.88,46.61,47.34,43.12,38.9,37.3,35.71
06097,38.2,34.75,31.3,33.51,35.72,36.74,37.75
06099,64.34,65.1,65.87,63.15,60.43,56.33,52.23
06101,52.98,56.42,59.85,57.13,54.41,52.48,50.54
06103,40.18,49.1,58.01,66.24,74.47,74.17,73.87
06105,3.06,15.34,27.63,37.2,46.77,57.68,68.59
06107,65.97,61.99,58.01,57.14,56.26,51.15,46.05
06109,32.73,41.53,50.33,41.16,32.0,45.06,58.12
06111,27.98,27.14,26.3,25.25,24.2,26.64,29.09
06113,75.17,75.89,76.6,75.54,74.47,77.18,79.89
06115,68.64,67.26,65.87,67.94,70.01,67.78,65.56
08001,40.18,40.02,39.86,35.93,32.0,30.54,29.09
08003,83.41,85.08,86.76,83.51,80.26,80.08,79.89
08005,42.38,42.12,41.87,39.51,37.15,36.43,35.71
08007,3.44,3.82,4.2,2.68,1.15,1.58,2.01
08009,14.65,28.26,41.87,49.07,56.26,51.15,46.05
08011,42.38,49.42,56.45,72.68,88.92,91.9,94.88
08013,40.18,41.88,43.58,42.92,42.25,45.74,49.24
08014,18.08,13.4,8.72,9.47,10.22,12.54,14.86
08015,12.0,14.77,17.54,36.9,56.26,64.59,72.92
08017,2.04,1.25,0.45,2.15,3.85,8.73,13.62
08019,3.88,3.14,2.39,3.97,5.54,10.79,16.04
08021,49.32,52.14,54.95,57.69,60.43,67.15,73.87
08023,86.85,90.3,93.76,91.58,89.4,59.98,30.55
08025,22.03,27.51,32.98,38.66,44.35,24.01,3.66
08027,18.08,12.97,7.86,6.14,4.43,2.8,1.18
08029,15.79,22.59,29.39,33.27,37.15,39.98,42.81
08031,93.82,92.38,90.93,90.84,90.74,90.14,89.53
08033,24.99,22.03,19.07,10.54,2.01,5.21,8.4
08035,2.04,2.07,2.1,2.66,3.22,3.7,4.17
08037,1.31,2.42,3.53,2.92,2.32,6.86,11.39
08039,3.44,4.47,5.51,4.36,3.22,2.36,1.5
08041,29.74,28.02,26.3,25.96,25.63,24.8,23.97
08043,32.73,35.44,38.14,42.46,46.77,43.9,41.02
08045,15.79,16.67,17.54,12.68,7.83,14.58,21.32
08047,36.52,32.96,29.39,30.7,32.0,35.67,39.34
08049,2.04,4.12,6.21,5.62,5.03,12.44,19.86
08051,5.48,13.77,22.06,15.63,9.2,13.88,18.56
08053,1.78,3.64,5.51,5.9,6.3,4.3,2.29
08055,69.79,75.66,81.53,82.72,83.92,83.97,84.02
08057,8.44,4.36,0.29,1.15,2.01,8.44,14.86
08059,24.99,22.68,20.38,20.76,21.14,21.23,21.32
08061,7.7,21.22,34.73,35.22,35.72,21.46,7.19
08063,18.08,12.14,6.21,15.92,25.63,45.6,65.56
08065,20.73,20.56,20.38,21.43,22.48,51.18,79.89
08067,6.08,5.14,4.2,5.25,6.3,4.98,3.66
08069,24.99,22.68,20.38,21.43,22.48,24.12,25.75
08071,81.12,83.6,86.09,87.25,88.41,88.97,89.53
08073,31.36,45.6,59.85,46.83,33.81,52.28,70.75
08075,84.59,87.41,90.23,86.54,82.84,71.84,60.85
08077,52.98,46.42,39.86,35.93,32.0,39.02,46.05
08079,1.62,1.7,1.78,1.9,2.01,5.7,9.39
08081,13.34,23.16,32.98,35.07,37.15,40.68,44.21
08083,26.52,17.19,7.86,6.44,5.03,20.37,35.71
08085,42.38,47.88,53.39,50.92,48.46,37.1,25.75
08087,65.97,56.66,47.34,37.9,28.46,37.26,46.05
08089,77.94,72.5,67.05,74.26,81.47,79.1,76.73
08091,6.08,9.35,12.61,9.46,6.3,4.3,2.29
08093,3.06,2.58,2.1,2.46,2.83,1.78,0.73
08095,60.17,47.45,34.73,29.46,24.2,15.01,5.82
08097,27.98,27.81,27.63,37.2,46.77,35.37,23.97
08099,36.52,43.42,50.33,49.4,48.46,65.35,82.24
08101,83.86,82.7,81.53,78.68,75.84,74.86,73.87
08103,29.74,24.4,19.07,12.69,6.3,7.35,8.4
08105,84.59,85.68,86.76,89.68,92.61,88.65,84.69
08107,6.08,10.64,15.19,12.2,9.2,7.51,5.82
08109,26.52,36.93,47.34,67.1,86.85,55.41,23.97
08111,32.73,25.14,17.54,46.0,74.47,47.16,19.86
08113,42.38,39.32,36.26,26.68,17.1,25.61,34.12
08115,52.98,52.46,51.93,49.35,46.77,42.26,37.75
08117,8.44,5.81,3.18,2.6,2.01,4.22,6.43
08119,6.08,5.52,4.97,3.74,2.52,2.01,1.5
08121,10.73,19.18,27.63,30.72,33.81,31.45,29.09
08123,22.03,22.04,22.06,18.9,15.73,14.68,13.62
08125,32.73,28.84,24.96,26.71,28.46,22.25,16.04
09001,78.83,78.11,77.4,76.62,75.84,75.58,75.33
09003,92.2,92.36,92.52,92.57,92.61,92.47,92.33
09005,36.52,40.94,45.37,43.81,42.25,44.15,46.05
09007,32.73,37.3,41.87,43.11,44.35,42.68,41.02
09009,93.7,93.9,94.11,94.43,94.75,94.82,94.88
09011,68.64,65.09,61.54,59.71,57.88,58.65,59.42
09013,10.16,16.11,22.06,25.26,28.46,31.29,34.12
09015,69.79,64.82,59.85,64.93,70.01,68.6,67.19
10001,58.87,58.44,58.01,60.0,61.99,64.59,67.19
10003,69.79,70.14,70.49,68.76,67.02,67.1,67.19
10005,20.73,21.4,22.06,20.32,18.59,17.32,16.04
11001,99.62,99.62,99.62,99.62,99.62,99.62,99.62
12001,81.12,80.92,80.71,72.48,64.25,69.79,75.33
12003,13.34,10.6,7.86,5.34,2.83,4.63,6.43
12005,54.6,54.78,54.95,58.47,61.99,54.82,47.64
12007,81.12,82.92,84.72,84.32,83.92,81.57,79.22
12009,40.18,43.76,47.34,44.79,42.25,38.18,34.12
12011,74.12,73.48,72.84,71.43,70.01,69.3,68.59
12013,64.34,70.1,75.87,70.76,65.65,70.49,75.33
12015,38.2,34.75,31.3,29.88,28.46,33.9,39.34
12017,34.8,41.07,47.34,49.38,51.42,43.56,35.71
12019,14.65,11.68,8.72,7.99,7.26,12.35,17.44
12021,51.29,46.58,41.87,40.39,38.9,39.12,39.34
12023,51.29,51.61,51.93,46.38,40.82,36.64,32.46
12027,65.97,68.9,71.82,70.06,68.29,60.26,52.23
12029,32.73,53.74,74.75,79.64,84.53,79.2,73.87
