FIPS,2014 EPL_UNEMP,2015 EPL_UNEMP,2016 EPL_UNEMP,2017 EPL_UNEMP,2018 EPL_UNEMP,2019 EPL_UNEMP,2020 EPL_UNEMP
05135,71.89,68.27,64.66,53.16,41.66,48.76,55.86
05137,24.86,46.0,67.14,66.29,65.45,77.64,89.82
05139,71.89,74.3,76.7,76.98,77.26,52.94,28.61
05141,92.23,92.74,93.25,84.54,75.83,79.18,82.53
05143,35.5,31.34,27.19,29.2,31.21,35.16,39.12
05145,35.5,38.96,42.41,48.61,54.81,52.18,49.55
05147,86.66,90.45,94.24,91.6,88.95,77.56,66.17
05149,47.06,48.32,49.57,50.64,51.72,37.74,23.77
06001,64.02,59.14,54.25,48.64,43.03,44.32,45.61
06003,23.78,58.36,92.93,96.22,99.52,97.58,95.64
06005,96.15,94.19,92.23,89.76,87.29,75.04,62.79
06007,89.37,88.96,88.54,88.28,88.03,86.44,84.85
06009,79.82,80.77,81.73,71.03,60.32,58.09,55.86
06011,85.9,79.8,73.7,58.36,43.03,39.21,35.39
06013,66.35,64.2,62.05,61.18,60.32,60.87,61.43
06015,86.66,86.82,86.98,86.2,85.41,80.45,75.49
06017,79.82,80.77,81.73,71.9,62.07,53.84,45.61
06019,93.47,93.36,93.25,92.5,91.75,92.12,92.49
06021,91.05,87.55,84.05,77.48,70.92,67.67,64.42
06023,79.82,80.46,81.09,82.25,83.41,88.17,92.93
06025,98.38,98.57,98.76,98.72,98.69,98.85,99.01
06027,44.57,43.49,42.41,43.66,44.9,36.76,28.61
06029,89.88,91.57,93.25,93.8,94.36,93.79,93.22
06031,93.19,92.88,92.58,89.34,86.11,88.35,90.58
06033,96.98,96.72,96.47,94.78,93.09,94.84,96.59
06035,90.61,85.34,80.07,70.19,60.32,65.91,71.51
06037,77.3,76.46,75.61,73.26,70.92,73.9,76.89
06039,63.01,65.57,68.13,76.77,85.41,90.16,94.91
06041,36.55,31.22,25.88,23.88,21.88,31.78,41.69
06043,89.88,86.62,83.35,85.69,88.03,89.86,91.69
06045,85.42,87.82,90.23,90.38,90.54,90.9,91.25
06047,97.96,98.06,98.15,97.84,97.52,97.18,96.85
06049,85.42,67.49,49.57,66.88,84.2,87.39,90.58
06051,83.25,74.63,66.0,39.85,13.69,11.44,9.2
06053,64.02,57.59,51.16,49.96,48.76,51.3,53.85
06055,50.72,48.44,46.16,43.91,41.66,41.68,41.69
06057,74.91,74.72,74.53,69.99,65.45,48.05,30.65
06059,55.21,52.39,49.57,46.3,43.03,47.38,51.72
06061,60.74,56.65,52.56,46.18,39.81,37.6,35.39
06063,97.13,95.03,92.93,79.19,65.45,69.82,74.19
06065,93.47,92.36,91.24,89.26,87.29,85.56,83.83
06067,89.37,87.72,86.06,81.98,77.9,76.7,75.49
06069,92.71,90.94,89.18,83.54,77.9,81.89,85.87
06071,92.23,91.23,90.23,89.36,88.5,86.16,83.83
06073,64.02,63.82,63.61,64.53,65.45,69.18,72.92
06075,41.39,41.16,40.94,38.64,36.34,40.98,45.61
06077,94.75,94.0,93.25,90.64,88.03,85.64,83.26
06079,45.62,38.6,31.58,33.22,34.87,38.28,41.69
