FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
31099,5.5,5.7,6.5,7.4,6.07,6.8,8.8
31101,6.72,6.43,6.78,9.2,9.4,9.7,12.4
31103,5.2,5.99,7.74,7.0,7.95,6.9,7.93
31105,9.6,11.1,12.48,11.97,12.1,10.3,16.2
31107,4.41,4.0,5.62,5.0,4.7,5.27,7.21
31109,7.7,7.5,6.74,7.8,9.3,9.5,10.46
31111,7.5,5.87,5.8,7.8,7.33,7.7,10.02
31113,4.7,5.1,5.84,6.82,7.61,6.2,8.1
31115,4.7,5.1,5.8,6.79,6.59,6.31,8.0
31117,6.18,5.7,6.01,7.1,7.97,6.9,9.0
31119,3.5,4.2,5.9,5.6,4.8,4.92,7.0
31121,7.3,4.32,5.91,6.47,5.47,6.36,13.0
31123,7.2,7.9,9.0,9.98,10.32,8.91,12.37
31125,5.28,4.34,5.9,6.19,5.65,6.17,9.12
31127,8.2,7.22,8.42,8.65,9.8,10.7,11.23
31129,4.4,4.8,6.25,6.0,6.37,6.22,8.45
31131,7.62,6.94,8.1,7.0,9.0,7.3,10.5
31133,6.3,6.9,7.9,8.5,8.48,9.12,11.31
31135,7.17,7.5,7.82,8.8,8.4,9.38,13.71
31137,5.12,5.4,6.15,8.0,6.4,6.65,8.4
31139,3.78,4.07,5.01,4.85,4.57,4.6,6.49
31141,4.88,4.1,5.7,5.64,5.1,5.78,6.5
31143,4.4,4.97,6.35,5.8,5.32,5.7,7.9
31145,5.76,7.5,9.0,10.3,7.35,9.0,9.95
31147,7.33,9.1,9.7,10.5,10.6,10.3,13.2
31149,4.52,4.93,6.48,6.2,5.9,6.1,7.27
31151,3.9,6.0,6.1,5.2,7.26,6.98,9.28
31153,5.8,9.27,7.8,8.67,9.03,9.2,13.88
31155,7.47,7.82,5.3,5.7,8.27,9.24,12.15
31157,6.5,8.3,8.3,10.59,12.3,8.8,10.9
31159,5.05,5.5,5.6,6.74,6.72,7.01,9.0
31161,5.8,6.4,7.3,8.3,10.77,7.7,12.4
31163,4.83,4.88,5.56,5.7,5.5,5.6,7.3
31165,6.38,10.12,11.5,10.91,14.04,12.03,15.62
31167,3.97,4.5,5.1,5.18,5.05,5.4,6.72
31169,4.2,5.36,5.2,6.0,7.22,5.5,8.71
31171,5.16,5.3,5.8,6.3,7.53,6.53,8.0
31173,5.51,6.09,6.43,5.83,7.1,7.8,9.4
31175,4.91,5.3,6.07,6.5,6.63,6.48,8.3
31177,7.45,9.57,8.27,8.83,5.0,8.8,6.9
31179,3.3,4.99,4.3,4.4,5.62,4.3,5.5
31181,5.1,5.12,6.76,6.9,6.17,7.7,8.8
31183,4.3,4.62,6.03,6.38,6.0,6.0,7.92
31185,4.23,6.4,7.7,9.3,6.0,6.19,11.6
32001,18.9,20.32,23.7,28.96,32.1,23.29,33.8
32003,17.87,11.95,22.5,22.65,25.19,17.9,26.3
32005,20.26,19.8,21.22,24.45,24.38,21.2,27.3
32007,14.51,19.0,18.26,18.45,14.9,19.32,25.65
32009,19.99,15.7,21.45,19.3,18.4,12.5,33.19
32011,17.12,15.2,25.7,18.6,17.8,18.3,23.5
32013,14.78,20.27,17.1,19.65,19.5,20.09,23.4
32015,17.59,21.4,25.7,26.0,26.5,24.1,34.4
32017,20.67,18.28,23.26,20.8,21.1,23.36,28.43
32019,18.2,19.2,23.27,29.1,26.2,21.68,26.0
32021,19.22,16.43,21.18,28.92,30.8,18.23,35.6
32023,19.25,18.08,23.48,38.3,25.36,21.19,37.4
32027,19.1,19.3,20.6,23.4,22.4,24.1,27.5
32029,19.0,26.23,26.05,25.1,28.7,26.2,31.4
32031,19.1,21.4,24.8,28.0,23.83,25.4,33.5
32033,19.97,24.8,23.32,26.1,27.1,31.0,28.75
32510,22.7,38.1,27.3,27.4,31.2,26.8,28.6
33001,21.3,25.93,29.9,37.5,19.95,31.95,24.55
33003,19.0,24.18,28.2,29.1,24.5,28.2,23.97
33005,20.83,15.5,27.82,27.0,34.4,23.9,33.93
33007,25.2,28.0,25.9,22.4,20.53,22.9,21.3
33009,13.9,22.14,23.67,20.3,15.4,25.36,18.9
33011,26.2,38.6,46.2,27.7,37.3,28.32,32.8
33013,22.92,30.59,30.22,27.66,27.2,25.5,30.2
33015,22.2,29.6,37.67,33.15,34.57,30.75,26.5
33017,31.0,26.79,30.68,37.0,27.03,38.4,27.08
33019,19.98,23.58,21.1,15.8,28.98,25.71,28.96
34001,17.83,25.32,36.3,48.5,53.9,44.97,42.5
34003,12.37,11.97,12.3,19.29,16.4,19.82,23.67
34005,13.77,22.64,37.77,36.56,39.3,36.5,32.2
34007,17.22,30.6,37.3,42.53,46.6,56.8,41.2
34009,20.4,25.6,34.7,48.8,53.9,48.9,47.25
34011,20.45,18.9,33.1,43.0,55.47,49.8,52.0
34013,12.3,11.87,25.6,20.47,20.05,39.1,20.9
34015,20.69,26.2,39.04,42.99,50.43,47.73,50.2
34017,8.3,12.6,18.95,19.5,21.7,22.2,22.4
34019,10.4,11.7,14.7,17.0,13.1,13.3,25.52
34021,12.0,15.8,24.56,25.3,25.72,25.8,30.3
34023,13.27,14.57,20.0,26.63,22.7,25.2,27.53
34025,12.63,18.3,29.35,30.2,31.63,29.17,33.13
34027,11.81,9.9,15.4,20.2,17.7,24.37,19.4
34029,12.63,22.09,38.7,35.3,38.8,32.83,36.9
34031,13.93,13.1,17.3,21.7,19.11,24.2,25.33
34033,20.5,28.7,37.81,31.7,58.6,47.9,53.8
34035,9.9,12.47,14.6,22.27,14.2,16.2,17.2
34037,12.0,16.27,17.8,23.7,23.55,30.7,35.7
34039,12.33,11.71,18.89,22.24,24.4,22.7,22.82
34041,14.53,18.5,17.83,31.1,29.4,25.93,33.75
35001,29.4,21.28,27.05,26.2,28.73,27.99,52.8
35003,20.78,25.52,26.7,25.48,29.2,26.75,26.4
35005,17.2,20.1,23.9,22.09,23.7,26.4,29.7
35006,20.64,15.6,25.2,17.4,28.91,24.94,24.2
35007,22.0,25.1,36.3,33.1,33.6,27.9,44.3
35009,15.3,7.35,8.74,17.08,18.2,14.9,36.4
35011,24.5,24.52,21.0,25.45,21.6,30.4,28.7
35013,17.1,18.5,21.07,18.1,16.8,18.9,19.4
35015,17.53,28.7,18.18,17.05,33.8,22.77,29.4
35017,28.4,31.5,26.15,39.1,29.62,32.0,27.0
35019,30.61,29.07,27.62,26.3,33.2,38.5,29.83
35021,15.5,16.9,19.3,20.8,29.72,20.5,26.5
35023,19.02,26.92,24.9,29.14,23.64,26.15,31.7
35025,13.19,16.23,20.4,15.69,18.1,24.5,22.48
35027,31.8,24.4,27.84,26.71,31.09,32.12,30.44
35028,55.35,17.6,19.5,24.1,43.77,21.3,23.5
35029,14.6,28.17,18.4,30.7,23.0,20.3,21.3
35031,13.0,16.17,21.4,16.83,24.46,20.2,21.4
35033,40.38,24.8,30.23,30.1,30.7,28.08,42.3
35035,22.2,21.8,21.33,22.5,23.36,21.96,24.2
35037,18.59,17.98,17.09,26.7,22.63,26.3,21.41
35039,87.9,70.4,25.91,79.3,80.0,24.9,32.78
35041,14.78,15.17,16.04,19.03,14.8,21.14,27.74
35043,22.8,17.7,17.6,30.05,22.8,17.1,27.9
35045,25.6,15.2,20.34,20.5,30.13,23.3,28.9
35047,36.1,32.7,28.23,25.9,39.4,35.7,30.07
35049,43.14,30.65,32.0,26.0,28.5,27.4,35.95
35051,22.82,34.5,34.6,34.9,48.0,26.76,25.69
35053,25.62,24.9,26.3,24.7,34.79,30.5,31.07
35055,44.96,40.1,35.32,29.7,32.5,28.2,43.93
35057,30.02,30.1,33.4,25.15,32.95,34.8,39.13
35059,12.7,19.73,18.68,15.9,15.2,15.7,21.4
35061,27.2,21.7,27.99,21.8,34.9,32.65,42.6
36001,9.22,11.5,16.18,15.3,12.9,17.4,25.1
36003,7.2,7.3,14.9,15.7,14.58,14.78,19.83
36005,10.79,12.52,22.7,16.88,27.4,12.93,22.62
36007,17.3,14.68,33.2,30.5,18.66,18.84,36.5
36009,11.63,15.2,18.2,15.4,13.4,17.0,18.3
36011,12.4,17.6,13.48,17.69,18.0,15.5,33.8
36013,13.3,17.5,22.95,24.45,19.4,17.52,23.4
36015,13.99,12.2,15.82,14.68,21.5,31.8,29.7
36017,10.7,10.4,21.07,12.2,15.91,10.5,21.4
36019,10.8,11.0,12.5,13.28,15.0,14.48,19.2
36021,12.8,15.9,18.1,20.31,15.8,16.8,34.2
36023,13.8,14.3,14.4,19.32,16.48,18.6,29.3
36025,14.34,13.9,24.73,16.2,16.64,22.22,28.78
36027,15.4,18.25,22.0,28.7,22.49,24.6,40.2
36029,11.6,15.9,31.4,29.4,21.9,18.05,24.93
36031,9.45,12.3,12.42,10.88,15.24,10.6,13.6
36033,8.6,11.3,9.7,11.3,15.0,12.57,16.1
36035,8.55,10.4,12.0,12.1,13.7,12.6,21.6
36037,10.0,14.06,23.94,19.4,16.7,19.3,26.73
36039,10.75,18.7,20.43,16.3,12.97,18.7,29.4
36041,7.9,8.0,11.77,9.9,13.57,11.13,16.82
36043,8.0,11.23,11.9,14.32,12.2,11.9,17.3
36045,12.4,14.05,13.3,17.1,15.4,14.8,20.73
36047,8.6,9.6,12.8,20.1,11.7,13.3,27.0
