FIPS,2014 EPL_CROWD,2015 EPL_CROWD,2016 EPL_CROWD,2017 EPL_CROWD,2018 EPL_CROWD,2019 EPL_CROWD,2020 EPL_CROWD,2021 EPL_CROWD,2022 EPL_CROWD
06005,28.3,38.26,48.23,60.36,72.49,71.35,70.21,70.93,71.65
06007,78.1,77.5,76.89,78.21,79.53,81.32,83.1,84.48,85.87
06009,47.95,50.5,53.04,52.42,51.8,51.06,50.32,52.24,54.15
06011,97.45,97.6,97.74,97.08,96.43,95.78,95.13,94.06,93.0
06013,90.74,91.02,91.31,91.44,91.56,92.0,92.43,93.4,94.37
06015,88.51,88.3,88.09,89.66,91.24,89.18,87.11,81.94,76.77
06017,58.55,57.52,56.48,57.24,58.01,64.11,70.21,66.9,63.6
06019,98.76,98.62,98.47,98.5,98.54,98.5,98.47,98.7,98.92
06021,91.18,92.74,94.3,90.7,87.11,86.73,86.35,87.18,88.01
06023,85.45,85.77,86.09,86.3,86.5,87.09,87.68,87.84,88.01
06025,98.54,98.66,98.79,98.86,98.92,98.79,98.66,98.55,98.44
06027,61.35,51.58,41.8,44.98,48.17,49.24,50.32,53.96,57.59
06029,98.34,98.3,98.25,98.4,98.54,98.4,98.25,98.38,98.5
06031,98.5,98.36,98.22,98.06,97.9,97.85,97.8,97.77,97.74
06033,77.49,77.42,77.36,78.44,79.53,82.51,85.49,86.75,88.01
06035,81.15,61.62,42.09,34.06,26.04,36.73,47.42,58.8,70.19
06037,99.3,99.24,99.17,99.17,99.17,99.24,99.3,99.2,99.11
06039,98.79,98.58,98.38,98.36,98.34,98.77,99.2,99.14,99.08
06041,82.01,83.44,84.88,86.58,88.28,89.27,90.26,89.54,88.83
06043,38.55,52.75,66.95,62.48,58.01,61.42,64.83,75.35,85.87
06045,93.95,93.79,93.63,93.2,92.77,93.4,94.02,93.16,92.3
06047,98.38,98.25,98.12,98.39,98.66,98.28,97.9,97.93,97.96
06049,34.86,41.45,48.04,65.01,81.98,81.06,80.14,70.48,60.83
06051,87.33,71.69,56.06,42.85,29.64,59.03,88.42,89.71,91.0
06053,99.36,99.41,99.46,99.52,99.59,99.67,99.75,99.68,99.62
06055,95.22,94.87,94.52,94.99,95.45,95.29,95.13,95.52,95.9
06057,59.92,55.14,50.37,51.08,51.8,47.72,43.63,37.8,31.98
06059,98.44,98.25,98.06,98.18,98.31,98.18,98.06,98.06,98.06
06061,66.63,62.73,58.83,56.91,54.98,52.65,50.32,53.96,57.59
06063,40.85,40.05,39.26,25.74,12.23,38.53,64.83,68.24,71.65
06065,96.98,96.93,96.88,96.66,96.43,96.59,96.75,96.92,97.1
06067,92.65,92.26,91.88,91.93,91.98,92.74,93.51,94.08,94.65
06069,97.71,97.78,97.84,97.9,97.96,97.55,97.14,96.92,96.69
06071,98.12,98.06,97.99,98.16,98.34,98.2,98.06,98.17,98.28
06073,95.1,95.49,95.89,95.96,96.02,96.26,96.5,96.45,96.4
06075,95.48,95.49,95.51,95.54,95.57,95.96,96.34,96.34,96.34
06077,97.2,96.99,96.78,96.86,96.94,97.14,97.33,97.62,97.9
06079,83.44,83.84,84.24,82.57,80.9,79.83,78.77,81.44,84.12
06081,96.78,97.02,97.26,97.36,97.45,97.26,97.07,97.02,96.98
06083,98.6,98.66,98.73,98.86,98.98,98.96,98.95,98.9,98.85
06085,97.29,97.45,97.61,97.69,97.77,97.65,97.52,97.47,97.42
06087,95.07,95.68,96.28,96.61,96.94,96.72,96.5,96.45,96.4
06089,63.07,67.49,71.92,76.41,80.9,79.83,78.77,78.54,78.3
06091,0.0,0.83,1.66,1.69,1.72,10.84,19.96,41.78,63.6
06093,85.99,81.93,77.87,78.7,79.53,80.33,81.13,82.12,83.11
06095,91.28,91.18,91.09,92.02,92.96,93.62,94.27,93.8,93.32
06097,92.71,92.98,93.25,93.1,92.96,92.7,92.43,92.1,91.76
06099,96.43,96.43,96.43,96.22,96.02,96.38,96.75,97.01,97.26
06101,96.72,96.53,96.34,95.96,95.57,95.73,95.89,95.9,95.9
06103,94.27,94.04,93.82,93.39,92.96,90.69,88.42,89.36,90.3
06105,90.32,87.01,83.7,76.17,68.64,79.45,90.26,91.28,92.3
06107,98.95,98.8,98.66,98.71,98.76,98.79,98.82,98.66,98.5
06109,73.58,76.24,78.89,78.46,78.03,71.43,64.83,61.21,57.59
06111,96.24,96.45,96.66,96.29,95.92,95.81,95.7,95.8,95.9
06113,93.25,93.22,93.19,93.5,93.82,94.35,94.88,95.34,95.8
06115,97.52,97.36,97.2,97.07,96.94,93.9,90.87,92.76,94.65
08001,92.77,93.42,94.08,93.8,93.51,92.68,91.85,91.07,90.3
08003,72.94,81.39,89.84,84.68,79.53,86.52,93.51,77.17,60.83
08005,78.06,77.85,77.65,75.99,74.34,74.94,75.53,76.92,78.3
08007,79.53,84.04,88.54,88.2,87.87,84.98,82.08,76.13,70.19
08009,19.68,26.02,32.35,32.97,33.59,48.0,62.41,58.28,54.15
08011,58.83,66.33,73.83,62.82,51.8,30.28,8.75,46.8,84.86
08013,51.48,50.76,50.05,45.3,40.56,36.2,31.83,35.58,39.33
08014,42.12,44.76,47.41,45.99,44.57,34.17,23.77,23.85,23.93
08015,23.15,20.54,17.92,16.71,15.5,45.51,75.53,79.32,83.11
08017,4.84,5.82,6.81,8.31,9.81,5.91,2.01,3.02,4.04
08019,18.62,31.34,44.06,38.82,33.59,34.8,36.0,39.55,43.11
08021,86.31,86.5,86.69,86.1,85.51,88.68,91.85,93.11,94.37
08023,36.9,32.69,28.49,49.57,70.65,82.64,94.62,82.4,70.19
08025,50.49,68.9,87.3,80.82,74.34,63.89,53.44,46.38,39.33
08027,84.72,84.56,84.4,76.52,68.64,65.53,62.41,75.81,89.21
08029,77.14,79.61,82.08,71.28,60.49,48.24,36.0,33.99,31.98
08031,83.22,82.36,81.5,80.52,79.53,79.15,78.77,77.77,76.77
