FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH,2021 EPL_NOVEH,2022 EPL_NOVEH
06071,47.63,46.5,45.37,42.14,38.9,38.32,37.75,35.72,33.69
06073,52.98,50.88,48.77,47.77,46.77,47.2,47.64,48.97,50.3
06075,99.46,99.48,99.49,99.5,99.52,99.5,99.49,99.48,99.46
06077,67.53,66.7,65.87,63.15,60.43,55.48,50.54,48.48,46.42
06079,23.62,27.46,31.3,28.46,25.63,22.74,19.86,20.97,22.08
06081,45.88,42.87,39.86,42.1,44.35,44.28,44.21,48.9,53.58
06083,64.34,62.1,59.85,54.16,48.46,51.04,53.63,58.74,63.86
06085,34.8,35.53,36.26,37.58,38.9,42.48,46.05,51.47,56.89
06087,44.51,47.42,50.33,48.55,46.77,45.49,44.21,45.32,46.42
06089,67.53,64.54,61.54,63.6,65.65,63.25,60.85,60.84,60.83
06091,1.78,3.64,5.51,24.93,44.35,38.4,32.46,22.17,11.87
06093,77.17,76.52,75.87,72.08,68.29,63.86,59.42,56.5,53.58
06095,45.88,46.61,47.34,43.12,38.9,37.3,35.71,35.61,35.51
06097,38.2,34.75,31.3,33.51,35.72,36.74,37.75,38.57,39.39
06099,64.34,65.1,65.87,63.15,60.43,56.33,52.23,51.27,50.3
06101,52.98,56.42,59.85,57.13,54.41,52.48,50.54,50.42,50.3
06103,40.18,49.1,58.01,66.24,74.47,74.17,73.87,68.05,62.23
06105,3.06,15.34,27.63,37.2,46.77,57.68,68.59,50.38,32.17
06107,65.97,61.99,58.01,57.14,56.26,51.15,46.05,41.78,37.51
06109,32.73,41.53,50.33,41.16,32.0,45.06,58.12,54.94,51.77
06111,27.98,27.14,26.3,25.25,24.2,26.64,29.09,28.94,28.79
06113,75.17,75.89,76.6,75.54,74.47,77.18,79.89,80.2,80.5
06115,68.64,67.26,65.87,67.94,70.01,67.78,65.56,65.26,64.97
08001,40.18,40.02,39.86,35.93,32.0,30.54,29.09,32.3,35.51
08003,83.41,85.08,86.76,83.51,80.26,80.08,79.89,71.06,62.23
08005,42.38,42.12,41.87,39.51,37.15,36.43,35.71,39.33,42.95
08007,3.44,3.82,4.2,2.68,1.15,1.58,2.01,4.49,6.97
08009,14.65,28.26,41.87,49.07,56.26,51.15,46.05,45.3,44.54
08011,42.38,49.42,56.45,72.68,88.92,91.9,94.88,88.06,81.23
08013,40.18,41.88,43.58,42.92,42.25,45.74,49.24,47.83,46.42
08014,18.08,13.4,8.72,9.47,10.22,12.54,14.86,17.23,19.6
08015,12.0,14.77,17.54,36.9,56.26,64.59,72.92,48.92,24.91
08017,2.04,1.25,0.45,2.15,3.85,8.73,13.62,7.21,0.8
08019,3.88,3.14,2.39,3.97,5.54,10.79,16.04,20.47,24.91
08021,49.32,52.14,54.95,57.69,60.43,67.15,73.87,69.96,66.05
08023,86.85,90.3,93.76,91.58,89.4,59.98,30.55,39.62,48.68
08025,22.03,27.51,32.98,38.66,44.35,24.01,3.66,29.64,55.62
08027,18.08,12.97,7.86,6.14,4.43,2.8,1.18,4.08,6.97
08029,15.79,22.59,29.39,33.27,37.15,39.98,42.81,35.8,28.79
08031,93.82,92.38,90.93,90.84,90.74,90.14,89.53,90.58,91.63
08033,24.99,22.03,19.07,10.54,2.01,5.21,8.4,25.67,42.95
08035,2.04,2.07,2.1,2.66,3.22,3.7,4.17,4.38,4.58
08037,1.31,2.42,3.53,2.92,2.32,6.86,11.39,18.15,24.91
08039,3.44,4.47,5.51,4.36,3.22,2.36,1.5,1.3,1.11
08041,29.74,28.02,26.3,25.96,25.63,24.8,23.97,21.78,19.6
08043,32.73,35.44,38.14,42.46,46.77,43.9,41.02,43.72,46.42
08045,15.79,16.67,17.54,12.68,7.83,14.58,21.32,27.51,33.69
08047,36.52,32.96,29.39,30.7,32.0,35.67,39.34,42.88,46.42
08049,2.04,4.12,6.21,5.62,5.03,12.44,19.86,13.42,6.97
08051,5.48,13.77,22.06,15.63,9.2,13.88,18.56,11.57,4.58
08053,1.78,3.64,5.51,5.9,6.3,4.3,2.29,2.13,1.97
08055,69.79,75.66,81.53,82.72,83.92,83.97,84.02,66.35,48.68
08057,8.44,4.36,0.29,1.15,2.01,8.44,14.86,36.58,58.29
08059,24.99,22.68,20.38,20.76,21.14,21.23,21.32,22.38,23.45
08061,7.7,21.22,34.73,35.22,35.72,21.46,7.19,8.04,8.88
08063,18.08,12.14,6.21,15.92,25.63,45.6,65.56,60.59,55.62
08065,20.73,20.56,20.38,21.43,22.48,51.18,79.89,49.11,18.33
08067,6.08,5.14,4.2,5.25,6.3,4.98,3.66,3.94,4.23
08069,24.99,22.68,20.38,21.43,22.48,24.12,25.75,23.92,22.08
08071,81.12,83.6,86.09,87.25,88.41,88.97,89.53,87.02,84.51
08073,31.36,45.6,59.85,46.83,33.81,52.28,70.75,59.72,48.68
08075,84.59,87.41,90.23,86.54,82.84,71.84,60.85,58.87,56.89
08077,52.98,46.42,39.86,35.93,32.0,39.02,46.05,47.36,48.68
08079,1.62,1.7,1.78,1.9,2.01,5.7,9.39,10.14,10.88
08081,13.34,23.16,32.98,35.07,37.15,40.68,44.21,53.22,62.23
08083,26.52,17.19,7.86,6.44,5.03,20.37,35.71,34.7,33.69
08085,42.38,47.88,53.39,50.92,48.46,37.1,25.75,17.83,9.9
08087,65.97,56.66,47.34,37.9,28.46,37.26,46.05,48.18,50.3
08089,77.94,72.5,67.05,74.26,81.47,79.1,76.73,81.2,85.68
08091,6.08,9.35,12.61,9.46,6.3,4.3,2.29,2.7,3.12
08093,3.06,2.58,2.1,2.46,2.83,1.78,0.73,1.23,1.72
08095,60.17,47.45,34.73,29.46,24.2,15.01,5.82,27.25,48.68
08097,27.98,27.81,27.63,37.2,46.77,35.37,23.97,14.96,5.95
08099,36.52,43.42,50.33,49.4,48.46,65.35,82.24,74.74,67.23
08101,83.86,82.7,81.53,78.68,75.84,74.86,73.87,77.55,81.23
08103,29.74,24.4,19.07,12.69,6.3,7.35,8.4,6.49,4.58
08105,84.59,85.68,86.76,89.68,92.61,88.65,84.69,77.71,70.73
08107,6.08,10.64,15.19,12.2,9.2,7.51,5.82,5.03,4.23
08109,26.52,36.93,47.34,67.1,86.85,55.41,23.97,12.97,1.97
08111,32.73,25.14,17.54,46.0,74.47,47.16,19.86,21.65,23.45
08113,42.38,39.32,36.26,26.68,17.1,25.61,34.12,48.99,63.86
08115,52.98,52.46,51.93,49.35,46.77,42.26,37.75,51.9,66.05
08117,8.44,5.81,3.18,2.6,2.01,4.22,6.43,9.15,11.87
08119,6.08,5.52,4.97,3.74,2.52,2.01,1.5,1.3,1.11
08121,10.73,19.18,27.63,30.72,33.81,31.45,29.09,25.58,22.08
08123,22.03,22.04,22.06,18.9,15.73,14.68,13.62,15.98,18.33
08125,32.73,28.84,24.96,26.71,28.46,22.25,16.04,12.46,8.88
09110,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09120,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09130,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09140,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
