FIPS,2014 EPL_DISABL,2015 EPL_DISABL,2016 EPL_DISABL,2017 EPL_DISABL,2018 EPL_DISABL,2019 EPL_DISABL,2020 EPL_DISABL,2021 EPL_DISABL,2022 EPL_DISABL
05095,97.52,96.54,95.57,94.95,94.33,95.27,96.21,96.07,95.93
05097,99.78,99.46,99.14,98.58,98.03,98.11,98.19,98.11,98.03
05099,92.36,93.76,95.16,92.9,90.64,91.86,93.09,91.85,90.61
05101,92.04,91.61,91.18,91.57,91.95,92.81,93.67,85.74,77.82
05103,91.82,86.62,81.41,80.03,78.64,87.34,96.05,97.04,98.03
05105,84.24,87.85,91.47,93.34,95.22,94.4,93.57,93.56,93.54
05107,94.97,93.84,92.71,92.63,92.55,93.46,94.37,92.66,90.96
05109,98.5,98.55,98.6,98.76,98.92,97.72,96.53,95.54,94.56
05111,87.33,90.56,93.79,91.64,89.49,89.34,89.18,91.47,93.76
05113,96.63,96.4,96.18,93.87,91.56,91.32,91.09,90.1,89.12
05115,59.22,55.14,51.07,55.9,60.74,64.85,68.97,71.96,74.96
05117,96.34,94.4,92.45,89.82,87.2,89.64,92.08,92.49,92.9
05119,30.82,33.02,35.21,42.63,50.05,50.25,50.45,49.72,49.0
05121,80.01,83.13,86.25,87.56,88.86,90.54,92.23,91.34,90.45
05123,87.33,85.29,83.25,80.19,77.14,78.9,80.65,82.93,85.21
05125,71.12,66.47,61.83,62.2,62.56,61.0,59.45,55.04,50.62
05127,87.81,80.8,73.8,82.08,90.35,91.64,92.93,87.82,82.72
05129,95.45,93.8,92.14,92.22,92.3,92.7,93.09,95.43,97.77
05131,68.26,70.62,72.97,74.68,76.38,79.16,81.95,83.58,85.21
05133,39.83,32.39,24.96,29.05,33.14,36.36,39.59,36.53,33.47
05135,83.22,87.34,91.47,95.01,98.54,98.32,98.09,96.7,95.32
05137,94.08,94.49,94.91,92.9,90.89,93.34,95.8,97.14,98.47
05139,86.82,81.31,75.8,69.18,62.56,61.0,59.45,57.12,54.79
05141,92.04,91.76,91.47,93.19,94.91,96.28,97.64,97.68,97.71
05143,11.97,10.52,9.07,8.52,7.96,9.42,10.88,10.44,9.99
