FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
06005,29.0,23.1,17.19,18.59,24.9,31.7,23.4
06007,13.72,14.8,17.19,18.59,17.7,17.8,35.3
06009,13.72,21.4,21.3,18.59,21.6,25.5,23.4
06011,13.72,14.8,17.19,18.59,17.7,15.2,23.4
06013,11.4,9.9,17.19,10.6,17.7,17.8,20.3
06015,17.5,18.7,17.19,22.8,17.3,23.5,29.3
06017,13.72,21.3,23.1,19.5,19.8,17.8,23.2
06019,13.3,14.8,17.19,12.9,17.7,17.8,17.4
06021,22.0,14.8,20.4,18.59,17.7,22.2,23.4
06023,13.72,31.8,40.0,35.0,17.7,30.6,23.4
06025,13.72,20.2,19.0,18.59,17.7,17.8,32.6
06027,20.5,18.8,24.5,22.3,29.1,17.8,23.4
06029,13.72,24.1,17.19,25.9,17.7,17.8,39.8
06031,13.72,10.5,17.19,18.59,13.1,17.8,23.4
06033,13.72,14.8,36.3,47.3,17.7,67.6,23.4
06035,33.5,29.1,17.19,18.59,28.7,38.4,23.4
06037,13.72,14.8,8.2,18.59,17.7,17.8,23.4
06039,13.72,14.8,13.2,18.59,11.1,17.8,16.4
06041,9.2,9.5,17.19,18.59,13.7,17.8,21.8
06043,22.5,19.7,17.19,25.8,22.5,28.3,34.3
06045,26.8,14.8,17.19,30.6,17.7,17.8,45.8
06047,13.72,14.4,14.6,13.5,17.7,16.1,23.4
06049,25.4,23.2,17.19,32.9,17.7,17.8,32.5
06051,13.72,10.5,17.19,18.59,17.7,12.5,23.4
06053,11.4,11.2,12.8,11.2,12.1,17.8,22.4
06055,13.72,12.8,10.6,11.8,17.7,13.3,23.4
06057,13.72,14.8,19.5,18.59,18.6,19.4,23.4
06059,13.72,12.1,13.2,11.9,17.7,13.0,20.6
06061,13.72,12.3,13.2,18.59,17.7,17.8,23.4
06063,13.72,31.7,17.19,30.4,17.7,17.8,23.4
06065,13.72,14.4,17.19,17.1,17.7,17.8,27.8
06067,13.72,14.8,15.4,14.4,17.7,17.8,19.0
06069,13.72,10.9,9.9,18.59,12.5,13.7,16.7
06071,6.0,5.1,4.9,9.2,17.7,11.4,23.2
06073,12.9,14.8,17.19,14.7,14.5,17.8,23.4
06075,19.6,14.8,21.8,18.59,27.1,17.8,23.4
06077,13.72,16.2,15.3,18.59,16.6,16.8,21.5
06079,13.72,18.0,17.19,18.59,16.3,18.6,29.0
06081,13.72,9.2,7.4,10.7,9.1,12.9,23.4
06083,13.72,14.8,17.19,18.59,16.3,18.1,23.4
06085,13.72,7.5,17.19,8.4,17.7,11.2,15.8
06087,20.4,14.8,18.1,18.59,17.7,20.1,23.2
06089,23.2,19.8,23.5,22.6,17.7,17.8,31.0
06091,26.1,14.8,28.5,30.6,17.7,30.1,40.9
06093,13.72,25.6,29.6,18.59,20.5,17.8,23.4
06095,13.72,14.8,12.1,13.9,17.7,17.8,18.4
06097,14.9,14.8,13.0,14.7,17.7,20.2,29.4
06099,13.72,19.0,14.1,13.8,17.7,17.8,23.4
06101,13.72,14.8,12.8,18.59,15.9,17.8,23.4
06103,13.72,14.8,14.6,18.59,17.7,12.2,17.6
06105,19.6,22.3,17.19,25.3,27.1,17.8,32.7
06107,13.72,14.8,17.19,8.7,17.7,17.8,15.3
06109,30.3,34.8,17.19,29.0,22.2,17.8,23.4
06111,14.3,14.8,13.4,18.59,17.7,17.8,23.4
06113,11.2,14.8,14.6,12.7,10.5,17.8,15.3
06115,13.72,14.8,16.7,18.59,17.7,14.6,19.8
08001,13.72,14.8,17.19,18.59,17.7,17.8,23.4
08003,13.72,21.7,17.19,18.59,17.7,25.2,23.4
08005,13.72,14.8,17.19,14.2,17.1,17.8,21.7
08007,13.72,14.8,15.3,18.59,17.7,17.8,23.4
08009,12.7,13.8,15.7,18.59,17.7,17.7,22.7
08011,16.8,14.8,21.9,22.1,17.7,20.6,29.6
08013,13.72,14.8,17.19,16.6,17.7,16.1,21.8
08014,13.72,14.8,17.19,18.59,17.7,17.8,23.4
08015,16.6,16.9,17.19,19.8,18.0,22.6,21.4
08017,7.4,14.8,17.19,18.59,9.5,9.8,23.4
08019,13.72,13.8,14.7,16.7,17.7,17.8,23.4
08021,13.72,14.8,31.4,18.59,27.2,17.8,23.4
08023,25.9,14.8,17.19,18.59,30.6,33.4,23.4
08025,12.8,13.9,17.19,18.59,17.7,17.8,23.4
08027,16.7,19.4,21.9,18.59,17.7,17.8,23.4
08029,13.72,14.8,17.19,18.59,17.7,17.8,25.1
08031,13.72,18.0,17.19,22.4,22.2,17.8,23.4
08033,16.6,17.0,20.6,22.2,17.7,20.4,28.0
08035,13.72,14.8,11.0,9.7,17.7,9.7,13.6
08037,7.6,9.0,9.4,18.59,17.7,17.8,12.4
08039,13.72,11.3,17.19,13.3,17.7,14.5,23.4
08041,13.72,14.8,24.2,18.59,26.0,17.8,36.4
08043,16.5,14.8,28.8,25.9,17.7,17.8,38.0
08045,13.72,14.8,19.1,17.1,15.9,17.5,23.4
08047,13.8,13.2,17.19,18.59,17.7,17.8,23.4
08049,13.72,10.9,13.7,18.59,17.7,17.8,23.4
08051,10.1,14.8,17.19,18.59,11.8,17.8,17.8
08053,13.72,14.8,15.4,18.59,17.7,17.8,23.4
08055,38.2,14.8,48.6,18.59,41.9,17.8,47.9
08057,15.9,14.8,17.19,21.3,17.7,17.8,23.4
08059,13.72,14.8,17.19,18.59,17.7,17.8,23.4
08061,13.72,10.7,17.19,13.1,12.5,12.9,23.4
08063,9.5,8.5,17.19,11.9,17.7,11.0,23.4
08065,13.4,14.8,17.19,18.7,16.9,21.9,23.4
08067,13.72,14.8,14.8,15.5,17.7,14.6,17.2
08069,13.72,15.2,13.2,15.6,15.2,17.8,17.2
08071,33.9,41.8,17.19,36.5,35.1,37.7,43.4
08073,13.72,14.8,13.7,13.8,17.7,13.6,18.5
08075,13.72,11.7,17.19,13.3,14.2,17.8,22.1
08077,14.7,20.7,17.19,25.0,17.7,19.7,23.4
08079,13.72,14.8,17.4,20.0,17.9,18.4,23.9
08081,13.72,16.2,18.2,18.59,16.6,17.8,23.4
08083,13.72,15.3,22.7,17.9,17.7,21.5,25.8
08085,13.72,10.4,17.19,17.6,17.0,17.8,23.4
08087,13.72,14.8,17.19,18.59,14.9,17.8,23.4
08089,21.6,14.8,21.0,21.2,17.7,17.8,28.3
08091,13.72,14.8,14.7,18.59,15.1,17.5,23.4
08093,13.72,14.8,19.2,18.59,17.7,18.7,23.4
08095,13.72,8.7,10.6,18.59,10.2,17.8,23.4
08097,12.7,14.8,17.19,18.59,17.7,15.3,22.2
08099,12.6,14.8,17.19,18.59,17.7,15.3,20.4
08101,13.72,14.8,17.19,30.4,17.7,17.8,41.0
08103,13.72,15.2,17.19,18.59,20.0,21.8,23.4
08105,13.72,24.3,30.3,35.7,17.7,17.8,23.4
08107,13.72,12.8,17.19,18.59,14.5,16.5,18.2
08109,13.72,14.8,17.19,18.59,17.7,17.8,23.4
08111,13.72,14.5,16.6,18.59,17.7,18.7,23.4
08113,10.1,14.8,17.19,18.59,13.5,13.1,16.6
08115,10.4,14.8,17.19,18.59,17.7,13.7,17.6
08117,13.72,12.0,11.4,12.0,11.0,17.8,17.0
08119,18.5,14.8,17.19,22.8,17.7,17.8,28.1
08121,13.72,14.8,9.7,10.4,17.7,10.2,14.9
08123,13.72,14.8,17.19,18.59,17.7,17.8,23.4
08125,13.72,14.8,17.19,6.1,17.7,17.8,23.4
09001,13.72,14.7,17.19,18.1,17.7,20.1,24.6
09003,13.72,23.0,17.19,18.59,17.7,17.8,42.2
09005,13.72,28.4,24.1,18.59,17.7,17.8,42.9
09007,20.3,14.8,17.19,28.6,35.9,17.8,36.3
09009,17.6,14.8,17.19,34.2,30.5,39.7,46.4
09011,13.72,14.8,17.19,18.59,35.0,41.1,41.6
09013,13.72,16.1,17.19,18.59,17.7,22.2,23.4
09015,13.72,27.5,17.19,18.59,17.7,17.8,41.0
10001,13.72,21.4,25.0,23.6,32.9,17.8,23.4
10003,13.72,14.8,17.19,40.8,17.7,46.0,45.2
10005,13.72,14.8,32.6,18.59,17.7,17.8,47.5
11001,13.72,18.7,38.1,43.4,35.3,17.8,58.3
12001,9.3,14.8,17.19,11.3,17.7,17.8,23.4
12003,13.72,14.8,17.19,18.59,22.0,17.8,33.9
12005,17.2,17.5,17.19,18.59,17.7,17.8,23.4
12007,13.72,20.5,21.6,18.59,22.8,17.8,28.8
12009,13.72,27.6,31.4,18.59,17.7,50.3,58.8
12011,13.72,14.8,17.19,28.6,22.8,17.8,23.4
12013,13.72,11.7,17.19,18.7,15.1,14.7,18.5
12015,8.3,8.8,9.9,18.59,17.7,17.8,23.4
12017,13.72,14.8,17.19,18.59,17.7,31.9,43.3
12019,16.1,14.8,32.2,26.7,26.8,26.3,23.4
12021,14.3,14.8,17.19,18.59,17.7,17.8,24.6
12023,13.72,14.8,17.19,18.59,17.7,17.8,23.3
12027,13.72,11.3,17.19,18.59,17.7,17.8,23.4
12029,23.3,14.8,17.19,30.6,17.7,17.8,23.4
12031,13.72,14.8,42.5,46.5,31.7,40.4,23.4
12033,13.72,14.8,15.7,18.59,25.4,27.6,42.7
12035,14.0,14.5,16.2,18.6,17.5,17.8,23.4
12037,20.1,14.8,17.19,18.59,24.9,17.8,40.4
12039,5.7,6.5,8.1,7.8,7.9,17.8,23.4
12041,11.8,13.5,13.5,17.9,14.6,14.9,23.4
12043,15.1,16.3,17.19,18.59,17.7,23.7,23.4
12045,13.72,17.3,17.19,18.59,19.8,17.8,23.4
12047,13.72,11.9,12.0,14.4,17.7,17.8,18.7
12049,9.9,14.8,17.19,18.59,12.9,17.8,22.9
12051,11.3,12.7,14.6,18.59,17.7,17.8,23.4
12053,17.7,19.6,17.19,22.9,24.6,28.8,35.6
12055,17.5,14.8,17.19,18.59,20.7,17.8,38.8
12057,12.7,13.4,16.6,16.9,18.9,17.8,23.4
12059,15.5,15.8,17.19,18.59,17.7,19.5,25.1
12061,18.5,16.3,21.6,18.59,17.7,20.8,25.8
12063,13.72,10.0,17.19,18.59,17.7,12.8,18.4
12065,9.8,10.7,17.19,18.59,17.7,19.9,23.4
12067,13.72,14.8,18.4,18.59,17.7,17.8,23.4
12069,13.72,14.8,14.4,18.59,14.0,17.8,26.6
12071,13.72,14.8,17.19,18.59,17.7,17.8,23.4
12073,6.6,14.8,17.19,18.59,9.2,17.8,23.4
12075,13.72,14.8,17.19,18.59,17.7,17.8,23.4
12077,13.72,9.5,17.19,18.59,11.8,12.9,16.4
