FIPS,2014 EPL_SNGPNT,2015 EPL_SNGPNT,2016 EPL_SNGPNT,2017 EPL_SNGPNT,2018 EPL_SNGPNT,2019 EPL_SNGPNT,2020 EPL_SNGPNT
05143,70.71,59.42,48.14,56.72,65.3,66.29,67.28
05145,55.36,62.72,70.07,65.36,60.65,72.72,84.79
05147,88.09,88.22,88.35,80.76,73.16,81.3,89.43
05149,63.39,70.01,76.63,81.46,86.28,67.71,49.14
06001,48.97,44.82,40.66,35.95,31.23,35.14,39.05
06003,49.35,27.06,4.78,5.72,6.65,4.6,2.55
06005,20.09,24.98,29.86,22.36,14.87,12.51,10.15
06007,56.13,48.46,40.78,42.98,45.18,42.12,39.05
06009,6.91,12.59,18.27,20.66,23.05,22.95,22.85
06011,89.94,91.22,92.49,93.99,95.48,90.14,84.79
06013,45.4,45.94,46.48,47.74,49.0,51.22,53.44
06015,88.63,86.46,84.3,72.47,60.65,61.61,62.57
06017,14.29,17.12,19.96,16.24,12.51,11.9,11.3
06019,98.03,98.12,98.22,97.79,97.36,93.57,89.78
06021,78.99,77.62,76.25,71.64,67.02,68.59,70.15
06023,73.8,72.38,70.96,70.34,69.72,66.15,62.57
06025,96.05,95.14,94.24,93.5,92.77,92.58,92.39
06027,58.9,62.9,66.89,44.97,23.05,17.7,12.35
06029,97.17,96.93,96.69,96.12,95.54,91.9,88.26
06031,97.23,97.84,98.44,98.17,97.9,94.48,91.06
06033,82.9,84.97,87.04,77.68,68.32,55.74,43.16
06035,48.07,45.64,43.2,37.21,31.23,42.34,53.44
06037,79.91,77.19,74.47,72.1,69.72,65.4,61.08
06039,91.09,91.62,92.14,90.12,88.09,77.68,67.28
06041,24.32,20.26,16.21,17.78,19.36,25.93,32.5
06043,12.1,18.78,25.47,18.55,11.62,50.21,88.8
06045,65.17,64.56,63.96,67.97,71.98,75.06,78.13
06047,97.29,97.82,98.34,97.93,97.52,95.18,92.84
06049,9.33,15.92,22.51,17.94,13.37,26.21,39.05
06051,29.93,18.15,6.37,8.3,10.22,8.96,7.7
06053,87.01,86.38,85.74,82.84,79.94,64.54,49.14
06055,40.88,35.89,30.91,30.26,29.61,30.05,30.49
06057,9.14,11.29,13.44,15.78,18.12,18.42,18.71
06059,43.01,40.51,38.01,37.07,36.13,37.59,39.05
06061,31.52,29.16,26.81,23.08,19.36,22.94,26.51
06063,21.97,17.21,12.45,12.48,12.51,13.37,14.23
06065,79.78,78.29,76.79,73.26,69.72,64.41,59.1
06067,85.99,84.66,83.32,81.18,79.05,77.88,76.7
06069,82.2,84.74,87.27,86.78,86.28,72.69,59.1
06071,93.47,93.64,93.82,93.25,92.68,89.49,86.31
06073,51.48,52.23,52.98,52.66,52.34,50.74,49.14
06075,3.34,3.0,2.67,2.98,3.28,5.49,7.7
06077,94.21,93.27,92.33,91.26,90.19,85.2,80.2
06079,23.37,21.84,20.31,22.08,23.85,19.67,15.5
